Glass_ID,Lot_ID,Product_Model,Raw_Glass_Batch,Line_ID,Machine_ID,Tool_ID,Fixture_ID,Operator_ID,Shift,Process_Time,Inspection_Station,Tool_Life_Pct,Spindle_Speed_rpm,Feed_Rate_mm_min,Coolant_Pressure_bar,Coolant_Pressure_Stability,Vacuum_Level_kPa,Chamfer_Width_mm,Chipping_Size_um,Thickness_mm,Warpage_mm,CS_MPa,DOL_um,Defect_Type,Defect_Location,AOI_Result,Final_Result
GLS-2026-0000011,LOT-2026-W08-C,CG-Model-A,RGB-9789,LINE-02,CNC-06,TOOL-05,FIX-C2,OP-001,Day,2026-03-03 12:51:31,AOI,67.5,24151,868.9,3.47,0.939,-85.3,0.2997,0.0,0.6954,0.0158,788.2,49.2,None,None,Pass,OK
GLS-2026-0000012,LOT-2026-W08-C,CG-Model-C,RGB-9318,LINE-01,CNC-01,TOOL-10,FIX-A3,OP-004,Day,2026-03-29 14:03:58,AOI,88.6,23750,921.5,3.22,1.0,-80.0,0.3252,7.1,0.7062,0.0339,784.1,45.3,None,None,Pass,OK
GLS-2026-0000013,LOT-2026-W12-C,CG-Model-A,RGB-8132,LINE-01,CNC-02,TOOL-08,FIX-B3,OP-004,Day,2026-03-15 16:10:02,AOI,23.0,23742,881.2,3.21,0.967,-78.8,0.3022,0.0,0.6995,0.0232,785.4,46.0,None,None,Pass,OK
GLS-2026-0000014,LOT-2026-W12-C,CG-Model-A,RGB-8759,LINE-01,CNC-02,TOOL-14,FIX-C1,OP-017,Night,2026-03-17 03:30:23,AOI,9.4,24311,825.6,3.29,0.876,-79.8,0.2904,0.0,0.6987,0.0537,813.7,47.4,None,None,Pass,OK
GLS-2026-0000015,LOT-2026-W11-B,CG-Model-B,RGB-8375,LINE-01,CNC-04,TOOL-11,FIX-B2,OP-007,Night,2026-03-14 14:43:42,AOI,29.7,23684,896.8,2.78,0.91,-82.9,0.3153,13.5,0.6975,0.023,781.8,44.8,None,None,Pass,OK
GLS-2026-0000016,LOT-2026-W13-D,CG-Model-B,RGB-8945,LINE-01,CNC-03,TOOL-01,FIX-B2,OP-022,Night,2026-03-18 14:12:05,AOI,70.3,23860,820.4,3.22,0.841,-79.7,0.309,0.0,0.7008,0.0291,791.4,44.5,None,None,Pass,OK
GLS-2026-0000017,LOT-2026-W07-B,CG-Model-A,RGB-9338,LINE-02,CNC-05,TOOL-10,FIX-A1,OP-011,Day,2026-03-02 18:24:41,AOI,90.8,23797,851.7,3.21,1.0,-85.2,0.3153,35.3,0.7041,0.0292,788.2,42.4,None,None,Pass,OK
GLS-2026-0000018,LOT-2026-W08-C,CG-Model-A,RGB-8308,LINE-02,CNC-01,TOOL-16,FIX-B3,OP-006,Day,2026-02-08 10:20:03,AOI,74.3,23976,904.2,3.11,0.976,-79.3,0.3114,0.0,0.6974,0.0251,802.7,48.3,None,None,Pass,OK
GLS-2026-0000019,LOT-2026-W06-A,CG-Model-B,RGB-9825,LINE-01,CNC-05,TOOL-20,FIX-B2,OP-012,Swing,2026-03-21 16:55:46,AOI,84.8,24059,907.4,3.18,0.981,-82.9,0.3374,53.9,0.7025,0.0447,769.0,44.0,None,None,Pass,OK
GLS-2026-0000020,LOT-2026-W06-A,CG-Model-C,RGB-9953,LINE-01,CNC-06,TOOL-23,FIX-B3,OP-001,Day,2026-02-27 02:56:14,AOI,35.5,23577,834.6,3.16,1.0,-79.2,0.2901,0.0,0.706,0.0385,773.4,44.7,None,None,Pass,OK
GLS-2026-0000021,LOT-2026-W07-B,CG-Model-B,RGB-9325,LINE-01,CNC-05,TOOL-07,FIX-C1,OP-010,Night,2026-03-02 00:29:23,AOI,68.8,23743,821.7,3.17,0.93,-81.7,0.3158,0.0,0.705,0.0226,798.0,46.4,None,None,Pass,OK
GLS-2026-0000022,LOT-2026-W13-D,CG-Model-B,RGB-8530,LINE-02,CNC-05,TOOL-04,FIX-A1,OP-018,Day,2026-02-22 12:09:03,AOI,45.7,24166,862.7,3.2,0.981,-81.6,0.2881,0.0,0.7003,0.0437,759.7,46.5,None,None,Pass,OK
GLS-2026-0000023,LOT-2026-W09-D,CG-Model-A,RGB-8448,LINE-02,CNC-06,TOOL-12,FIX-B2,OP-019,Day,2026-02-11 14:06:32,AOI,89.8,23948,749.9,3.28,0.917,-78.3,0.335,28.8,0.7007,0.039,790.2,49.0,None,None,Pass,OK
GLS-2026-0000024,LOT-2026-W07-B,CG-Model-B,RGB-9716,LINE-01,CNC-03,TOOL-12,FIX-B3,OP-004,Day,2026-03-26 18:03:24,AOI,78.2,23408,913.8,3.26,0.998,-82.8,0.3145,0.0,0.6968,0.0337,772.3,49.0,None,None,Pass,OK
GLS-2026-0000025,LOT-2026-W13-D,CG-Model-B,RGB-8869,LINE-01,CNC-02,TOOL-12,FIX-B3,OP-017,Night,2026-03-18 07:56:30,AOI,73.8,23964,904.3,3.22,0.921,-76.2,0.3008,0.0,0.7025,0.0349,796.5,45.6,None,None,Pass,OK
GLS-2026-0000026,LOT-2026-W10-A,CG-Model-C,RGB-8120,LINE-02,CNC-03,TOOL-08,FIX-C2,OP-003,Night,2026-03-10 08:15:36,AOI,37.6,23904,803.4,2.98,0.906,-81.8,0.2859,0.0,0.6933,0.0417,778.8,47.8,None,None,Pass,OK
GLS-2026-0000027,LOT-2026-W13-D,CG-Model-B,RGB-8811,LINE-02,CNC-02,TOOL-02,FIX-B3,OP-005,Night,2026-02-24 08:09:38,AOI,59.6,24404,787.8,2.95,0.922,-82.3,0.294,0.0,0.7036,0.0238,763.5,45.2,None,None,Pass,OK
GLS-2026-0000028,LOT-2026-W13-D,CG-Model-A,RGB-9583,LINE-02,CNC-03,TOOL-02,FIX-B3,OP-016,Day,2026-03-20 17:17:02,AOI,62.0,24134,799.4,3.15,0.944,-84.8,0.304,0.0,0.7041,0.0349,764.9,44.0,None,None,Pass,OK
GLS-2026-0000029,LOT-2026-W08-C,CG-Model-A,RGB-9277,LINE-01,CNC-01,TOOL-19,FIX-B3,OP-014,Night,2026-03-04 15:14:14,AOI,29.7,23950,872.0,3.18,0.941,-88.5,0.2995,0.0,0.6961,0.0345,784.5,44.3,None,None,Pass,OK
GLS-2026-0000030,LOT-2026-W06-A,CG-Model-C,RGB-9592,LINE-01,CNC-03,TOOL-01,FIX-B2,OP-007,Day,2026-02-26 17:13:57,AOI,48.3,24375,870.0,3.18,0.919,-80.6,0.3133,0.0,0.6967,0.0359,786.4,45.8,None,None,Pass,OK
GLS-2026-0000031,LOT-2026-W06-A,CG-Model-A,RGB-9333,LINE-01,CNC-04,TOOL-04,FIX-B2,OP-005,Day,2026-02-27 03:02:22,AOI,11.9,23549,910.1,3.17,0.952,-78.2,0.2989,19.2,0.7005,0.0374,795.1,44.7,None,None,Pass,OK
GLS-2026-0000032,LOT-2026-W10-A,CG-Model-B,RGB-8521,LINE-02,CNC-03,TOOL-03,FIX-C2,OP-029,Swing,2026-02-14 04:18:58,AOI,62.6,24044,831.0,3.29,1.0,-84.9,0.3233,6.0,0.6974,0.031,776.0,43.8,None,None,Pass,OK
GLS-2026-0000033,LOT-2026-W07-B,CG-Model-B,RGB-9128,LINE-01,CNC-03,TOOL-11,FIX-B3,OP-025,Swing,2026-02-06 08:15:11,AOI,65.0,24342,869.7,3.14,1.0,-79.6,0.2982,0.0,0.702,0.0348,768.6,40.7,None,None,Pass,OK
GLS-2026-0000034,LOT-2026-W08-C,CG-Model-A,RGB-9134,LINE-02,CNC-06,TOOL-09,FIX-B2,OP-020,Night,2026-03-05 03:58:55,AOI,48.3,23930,804.4,3.16,0.959,-76.6,0.32,0.0,0.6959,0.0288,785.9,46.8,None,None,Pass,OK
GLS-2026-0000035,LOT-2026-W07-B,CG-Model-B,RGB-9965,LINE-01,CNC-03,TOOL-21,FIX-B2,OP-026,Day,2026-03-24 11:56:33,AOI,68.8,24082,761.5,3.05,1.0,-83.8,0.3108,0.0,0.6932,0.0346,786.4,47.5,None,None,Pass,OK
GLS-2026-0000036,LOT-2026-W07-B,CG-Model-B,RGB-8595,LINE-01,CNC-01,TOOL-17,FIX-B1,OP-017,Swing,2026-02-04 16:50:01,AOI,40.1,23766,821.2,3.17,0.959,-86.2,0.2941,0.0,0.7013,0.0181,802.4,46.5,None,None,Pass,OK
GLS-2026-0000037,LOT-2026-W06-A,CG-Model-C,RGB-8651,LINE-01,CNC-01,TOOL-08,FIX-C2,OP-020,Night,2026-03-22 18:44:29,AOI,57.0,23967,825.2,3.32,0.952,-75.3,0.3008,0.0,0.6989,0.0587,781.2,49.6,None,None,Pass,OK
GLS-2026-0000038,LOT-2026-W06-A,CG-Model-A,RGB-8421,LINE-02,CNC-05,TOOL-11,FIX-A2,OP-016,Day,2026-03-21 00:03:45,AOI,74.0,24372,788.4,3.24,0.971,-82.3,0.3192,0.0,0.7055,0.0262,779.0,47.5,None,None,Pass,OK
GLS-2026-0000039,LOT-2026-W11-B,CG-Model-A,RGB-8765,LINE-02,CNC-05,TOOL-02,FIX-B2,OP-023,Day,2026-02-17 01:14:58,AOI,78.0,23890,906.0,3.12,0.924,-79.2,0.3283,0.0,0.6952,0.0356,776.8,44.3,None,None,Pass,OK
GLS-2026-0000040,LOT-2026-W10-A,CG-Model-A,RGB-9235,LINE-01,CNC-04,TOOL-03,FIX-A3,OP-013,Day,2026-03-09 15:16:36,AOI,58.1,24230,913.1,3.2,0.937,-80.8,0.2972,0.0,0.7065,0.0141,795.9,46.5,None,None,Pass,OK
GLS-2026-0000041,LOT-2026-W09-D,CG-Model-A,RGB-8865,LINE-01,CNC-03,TOOL-19,FIX-C1,OP-016,Night,2026-02-10 13:59:55,AOI,56.2,24490,837.7,3.09,0.977,-82.1,0.3112,12.4,0.6992,0.0203,790.4,44.1,None,None,Pass,OK
GLS-2026-0000042,LOT-2026-W12-C,CG-Model-B,RGB-9449,LINE-01,CNC-03,TOOL-18,FIX-B1,OP-020,Swing,2026-03-16 23:15:29,AOI,62.2,24252,865.0,3.28,0.949,-83.0,0.3069,0.0,0.7039,0.0363,772.7,46.0,None,None,Pass,OK
GLS-2026-0000043,LOT-2026-W11-B,CG-Model-A,RGB-8121,LINE-01,CNC-01,TOOL-16,FIX-B2,OP-024,Day,2026-03-13 15:07:40,AOI,93.7,23973,873.7,3.18,0.905,-85.8,0.3277,133.3,0.7031,0.0384,775.7,49.0,Edge_Chipping,Edge,Fail,NG
GLS-2026-0000044,LOT-2026-W12-C,CG-Model-A,RGB-9424,LINE-01,CNC-01,TOOL-24,FIX-B1,OP-012,Night,2026-02-21 13:30:00,AOI,34.6,23892,893.1,3.19,0.978,-81.0,0.2972,0.0,0.6986,0.0353,791.7,51.0,None,None,Pass,OK
GLS-2026-0000045,LOT-2026-W07-B,CG-Model-C,RGB-9803,LINE-01,CNC-04,TOOL-07,FIX-C3,OP-019,Swing,2026-02-04 22:32:40,AOI,75.3,24308,894.5,3.15,0.928,-85.3,0.3141,7.0,0.6953,0.0246,767.0,43.2,None,None,Pass,OK
GLS-2026-0000046,LOT-2026-W08-C,CG-Model-A,RGB-9676,LINE-02,CNC-05,TOOL-18,FIX-A3,OP-012,Night,2026-03-29 07:12:41,AOI,46.9,24027,857.8,3.13,0.906,-82.4,0.302,0.0,0.7144,0.0283,786.3,49.4,None,None,Pass,OK
GLS-2026-0000047,LOT-2026-W06-A,CG-Model-A,RGB-8917,LINE-01,CNC-02,TOOL-10,FIX-C2,OP-002,Swing,2026-02-26 20:23:49,AOI,56.1,24336,877.9,3.23,0.964,-84.6,0.2925,0.0,0.7044,0.0211,791.2,47.5,None,None,Pass,OK
GLS-2026-0000048,LOT-2026-W07-B,CG-Model-C,RGB-9429,LINE-02,CNC-01,TOOL-21,FIX-C1,OP-006,Day,2026-03-24 19:13:28,AOI,93.3,23718,831.3,3.05,0.923,-84.3,0.3065,147.1,0.7021,0.0117,783.7,43.6,Edge_Chipping,Edge,Fail,NG
GLS-2026-0000049,LOT-2026-W11-B,CG-Model-B,RGB-9551,LINE-01,CNC-05,TOOL-17,FIX-C3,OP-020,Day,2026-03-12 07:39:47,AOI,70.6,24326,821.4,3.17,0.964,-83.4,0.3083,0.0,0.7037,0.028,765.1,44.0,None,None,Pass,OK
GLS-2026-0000050,LOT-2026-W13-D,CG-Model-A,RGB-8764,LINE-02,CNC-05,TOOL-10,FIX-A3,OP-014,Day,2026-03-18 03:30:35,AOI,6.6,24175,867.8,3.07,0.97,-85.3,0.2846,0.0,0.711,0.0162,779.7,46.7,None,None,Pass,OK
GLS-2026-0000051,LOT-2026-W12-C,CG-Model-C,RGB-8754,LINE-01,CNC-02,TOOL-22,FIX-A1,OP-009,Night,2026-03-17 01:46:48,AOI,62.3,24543,808.3,3.02,0.959,-84.0,0.3036,0.0,0.6954,0.0505,793.1,43.8,None,None,Pass,OK
GLS-2026-0000052,LOT-2026-W09-D,CG-Model-B,RGB-9957,LINE-02,CNC-04,TOOL-21,FIX-C1,OP-015,Swing,2026-02-12 06:56:13,AOI,65.3,23878,845.9,3.09,0.997,-80.9,0.3153,28.1,0.6965,0.0286,795.0,47.0,None,None,Pass,OK
GLS-2026-0000053,LOT-2026-W13-D,CG-Model-A,RGB-9644,LINE-02,CNC-04,TOOL-23,FIX-C1,OP-020,Swing,2026-02-22 02:33:25,AOI,88.8,23606,893.2,3.12,1.0,-85.9,0.3004,40.4,0.6993,0.0292,784.2,46.1,None,None,Pass,OK
GLS-2026-0000054,LOT-2026-W07-B,CG-Model-A,RGB-9910,LINE-02,CNC-02,TOOL-20,FIX-A2,OP-028,Day,2026-02-28 01:40:32,AOI,95.2,23880,843.7,3.19,0.972,-79.4,0.3285,156.7,0.7016,0.0276,771.7,45.4,Edge_Chipping,Camera_Hole,Fail,NG
GLS-2026-0000055,LOT-2026-W07-B,CG-Model-C,RGB-9734,LINE-01,CNC-04,TOOL-04,FIX-C2,OP-008,Day,2026-03-01 20:55:32,AOI,50.1,23384,834.1,3.24,0.857,-83.2,0.3011,0.0,0.7023,0.0242,771.6,44.1,None,None,Pass,OK
GLS-2026-0000056,LOT-2026-W06-A,CG-Model-A,RGB-8903,LINE-02,CNC-02,TOOL-08,FIX-C3,OP-003,Swing,2026-02-03 12:58:29,AOI,58.2,24094,984.3,3.11,0.985,-87.0,0.3019,0.0,0.7054,0.0186,774.3,45.3,None,None,Pass,OK
GLS-2026-0000057,LOT-2026-W08-C,CG-Model-C,RGB-8798,LINE-01,CNC-05,TOOL-18,FIX-A1,OP-029,Swing,2026-03-04 16:49:29,AOI,40.5,24533,758.2,3.1,0.981,-83.2,0.2843,0.0,0.6952,0.0202,782.0,47.1,None,None,Pass,OK
GLS-2026-0000058,LOT-2026-W08-C,CG-Model-A,RGB-9941,LINE-01,CNC-04,TOOL-12,FIX-B2,OP-016,Day,2026-02-09 22:46:15,AOI,45.0,24251,785.9,3.13,0.987,-77.4,0.3287,49.4,0.7046,0.0403,799.1,48.4,None,None,Pass,OK
GLS-2026-0000059,LOT-2026-W12-C,CG-Model-A,RGB-8992,LINE-01,CNC-05,TOOL-07,FIX-C1,OP-002,Day,2026-03-16 02:46:45,AOI,22.7,24168,864.7,3.05,0.951,-80.2,0.2941,0.0,0.7039,0.0272,788.6,42.0,None,None,Pass,OK
GLS-2026-0000060,LOT-2026-W11-B,CG-Model-C,RGB-9965,LINE-02,CNC-02,TOOL-15,FIX-B1,OP-025,Day,2026-03-12 14:48:14,AOI,22.7,23932,816.5,3.23,1.0,-78.4,0.2838,0.0,0.7009,0.0238,799.8,49.6,None,None,Pass,OK
GLS-2026-0000061,LOT-2026-W07-B,CG-Model-C,RGB-9244,LINE-02,CNC-03,TOOL-22,FIX-A1,OP-024,Day,2026-03-26 12:09:31,AOI,76.6,24159,848.6,3.19,1.0,-78.3,0.3235,0.0,0.7004,0.0214,782.0,46.3,None,None,Pass,OK
GLS-2026-0000062,LOT-2026-W12-C,CG-Model-A,RGB-9486,LINE-02,CNC-05,TOOL-19,FIX-B1,OP-018,Night,2026-03-16 04:42:32,AOI,16.5,24016,828.0,3.1,0.859,-83.9,0.2896,0.0,0.7064,0.0228,791.4,43.5,None,None,Pass,OK
GLS-2026-0000063,LOT-2026-W13-D,CG-Model-A,RGB-9421,LINE-02,CNC-05,TOOL-21,FIX-C3,OP-001,Night,2026-02-22 06:21:59,AOI,50.1,24252,866.7,3.17,0.923,-87.2,0.3119,0.0,0.6952,0.0124,801.7,43.9,None,None,Pass,OK
GLS-2026-0000064,LOT-2026-W08-C,CG-Model-B,RGB-9614,LINE-02,CNC-02,TOOL-24,FIX-B2,OP-009,Night,2026-03-29 02:46:24,AOI,13.0,23745,839.8,3.03,0.904,-71.4,0.3111,0.0,0.699,0.019,801.1,41.8,None,None,Pass,OK
GLS-2026-0000065,LOT-2026-W13-D,CG-Model-B,RGB-8291,LINE-02,CNC-01,TOOL-16,FIX-B1,OP-017,Day,2026-02-24 19:54:13,AOI,61.0,24215,905.4,3.22,0.905,-83.2,0.305,0.0,0.7006,0.0108,792.6,48.5,None,None,Pass,OK
GLS-2026-0000066,LOT-2026-W12-C,CG-Model-B,RGB-8228,LINE-01,CNC-06,TOOL-15,FIX-C1,OP-026,Swing,2026-02-19 21:32:56,AOI,49.3,24100,886.1,3.26,1.0,-77.7,0.2999,28.7,0.6977,0.0115,788.5,46.9,None,None,Pass,OK
GLS-2026-0000067,LOT-2026-W07-B,CG-Model-A,RGB-8589,LINE-01,CNC-03,TOOL-23,FIX-A1,OP-024,Swing,2026-03-25 12:30:20,AOI,54.6,24114,843.9,3.29,0.948,-84.0,0.3075,0.0,0.7065,0.0321,794.6,49.7,None,None,Pass,OK
GLS-2026-0000068,LOT-2026-W13-D,CG-Model-C,RGB-8540,LINE-02,CNC-01,TOOL-02,FIX-A3,OP-007,Swing,2026-02-22 11:40:47,AOI,26.4,23670,879.9,3.32,0.915,-79.7,0.2878,0.0,0.7039,0.0282,780.7,46.8,None,None,Pass,OK
GLS-2026-0000069,LOT-2026-W07-B,CG-Model-A,RGB-8987,LINE-01,CNC-04,TOOL-15,FIX-C3,OP-021,Day,2026-02-05 10:16:10,AOI,40.2,23495,841.4,3.13,0.958,-80.1,0.3023,0.0,0.7001,0.0274,780.9,47.1,None,None,Pass,OK
GLS-2026-0000070,LOT-2026-W07-B,CG-Model-A,RGB-8244,LINE-02,CNC-02,TOOL-17,FIX-C1,OP-030,Night,2026-02-28 05:37:18,AOI,17.2,23276,852.0,3.18,0.958,-78.2,0.2696,0.0,0.7031,0.0367,758.5,45.0,None,None,Pass,OK
GLS-2026-0000071,LOT-2026-W13-D,CG-Model-A,RGB-9072,LINE-01,CNC-04,TOOL-21,FIX-C1,OP-030,Swing,2026-03-19 03:35:11,AOI,35.2,24270,873.3,3.19,0.951,-81.6,0.2918,7.6,0.6994,0.0287,786.1,47.0,None,None,Pass,OK
GLS-2026-0000072,LOT-2026-W09-D,CG-Model-A,RGB-8306,LINE-02,CNC-03,TOOL-04,FIX-A3,OP-014,Day,2026-02-11 23:44:38,AOI,83.3,24076,763.7,3.12,0.972,-81.2,0.3186,0.0,0.7001,0.0244,794.1,45.9,None,None,Pass,OK
GLS-2026-0000073,LOT-2026-W06-A,CG-Model-B,RGB-9460,LINE-02,CNC-04,TOOL-10,FIX-B2,OP-017,Swing,2026-02-27 20:24:47,AOI,44.7,24184,831.5,3.07,0.946,-81.8,0.3148,0.0,0.7051,0.021,782.6,47.2,None,None,Pass,OK
GLS-2026-0000074,LOT-2026-W08-C,CG-Model-A,RGB-9553,LINE-02,CNC-03,TOOL-23,FIX-C1,OP-014,Day,2026-02-08 12:51:02,AOI,38.7,24185,863.3,3.39,0.99,-75.8,0.293,0.0,0.7019,0.0449,778.4,46.3,None,None,Pass,OK
GLS-2026-0000075,LOT-2026-W11-B,CG-Model-B,RGB-9940,LINE-01,CNC-01,TOOL-02,FIX-A1,OP-024,Swing,2026-03-12 19:34:39,AOI,50.0,24181,848.9,3.23,1.0,-82.8,0.3036,0.0,0.7036,0.0024,781.6,45.5,None,None,Pass,OK
GLS-2026-0000076,LOT-2026-W07-B,CG-Model-A,RGB-8409,LINE-02,CNC-06,TOOL-24,FIX-A1,OP-022,Day,2026-02-28 14:10:52,AOI,50.4,24381,865.6,3.31,0.978,-82.0,0.3122,0.0,0.6968,0.0176,800.5,47.9,None,None,Pass,OK
GLS-2026-0000077,LOT-2026-W12-C,CG-Model-A,RGB-8164,LINE-02,CNC-05,TOOL-20,FIX-A3,OP-002,Day,2026-02-20 03:37:59,AOI,42.5,24005,888.1,3.01,0.972,-86.5,0.293,0.0,0.7092,0.0196,780.1,46.0,None,None,Pass,OK
GLS-2026-0000078,LOT-2026-W10-A,CG-Model-C,RGB-8755,LINE-01,CNC-01,TOOL-21,FIX-B2,OP-019,Day,2026-02-14 03:51:28,AOI,64.9,23853,829.7,3.16,1.0,-80.2,0.3192,0.0,0.6935,0.0319,799.5,45.1,None,None,Pass,OK
GLS-2026-0000079,LOT-2026-W08-C,CG-Model-B,RGB-9456,LINE-01,CNC-06,TOOL-17,FIX-C3,OP-022,Day,2026-03-05 17:47:01,AOI,41.9,24154,841.4,3.19,0.99,-81.1,0.2873,0.0,0.7041,0.0435,789.0,45.2,None,None,Pass,OK
GLS-2026-0000080,LOT-2026-W10-A,CG-Model-A,RGB-8872,LINE-01,CNC-05,TOOL-02,FIX-A2,OP-029,Day,2026-03-11 20:22:51,AOI,59.3,24042,809.7,3.1,0.935,-82.4,0.2995,0.0,0.6969,0.0019,762.3,46.7,None,None,Pass,OK
GLS-2026-0000081,LOT-2026-W08-C,CG-Model-A,RGB-8414,LINE-01,CNC-05,TOOL-12,FIX-B3,OP-017,Swing,2026-03-27 12:54:21,AOI,45.2,24487,864.0,3.12,0.896,-82.3,0.2989,5.4,0.6938,0.0442,781.9,44.7,None,None,Pass,OK
GLS-2026-0000082,LOT-2026-W06-A,CG-Model-B,RGB-8136,LINE-01,CNC-01,TOOL-24,FIX-C2,OP-010,Swing,2026-02-26 08:30:55,AOI,60.4,23868,863.2,3.25,0.989,-76.0,0.3106,0.0,0.7023,0.0252,786.0,46.5,None,None,Pass,OK
GLS-2026-0000083,LOT-2026-W09-D,CG-Model-B,RGB-8324,LINE-02,CNC-04,TOOL-23,FIX-C2,OP-006,Swing,2026-02-10 07:40:40,AOI,42.4,23973,855.1,3.36,0.978,-86.9,0.2907,0.0,0.6962,0.0181,782.7,45.9,None,None,Pass,OK
GLS-2026-0000084,LOT-2026-W06-A,CG-Model-B,RGB-9721,LINE-01,CNC-02,TOOL-09,FIX-A1,OP-004,Swing,2026-03-21 07:05:16,AOI,59.4,23974,822.7,3.18,0.962,-79.8,0.2944,0.0,0.7007,0.0125,794.6,44.0,None,None,Pass,OK
GLS-2026-0000085,LOT-2026-W10-A,CG-Model-B,RGB-9639,LINE-01,CNC-05,TOOL-18,FIX-A2,OP-002,Swing,2026-03-09 12:37:54,AOI,82.1,23954,791.8,2.9,0.892,-85.2,0.3176,114.5,0.6986,0.0204,772.8,48.8,Edge_Chipping,Corner,Fail,NG
GLS-2026-0000086,LOT-2026-W11-B,CG-Model-A,RGB-9690,LINE-01,CNC-01,TOOL-18,FIX-B2,OP-013,Night,2026-03-13 14:46:08,AOI,22.4,24245,832.8,3.21,0.879,-80.6,0.306,0.0,0.7035,0.012,803.5,46.8,None,None,Pass,OK
GLS-2026-0000087,LOT-2026-W07-B,CG-Model-C,RGB-9024,LINE-01,CNC-05,TOOL-21,FIX-C1,OP-004,Day,2026-02-06 15:20:22,AOI,43.8,23738,853.3,3.27,0.93,-77.9,0.2919,0.0,0.7004,0.0224,798.9,45.9,None,None,Pass,OK
GLS-2026-0000088,LOT-2026-W12-C,CG-Model-A,RGB-8038,LINE-02,CNC-04,TOOL-11,FIX-C3,OP-005,Swing,2026-02-19 02:48:51,AOI,38.0,23576,804.0,3.23,0.954,-80.8,0.2807,0.0,0.6978,0.0263,769.9,44.0,None,None,Pass,OK
GLS-2026-0000089,LOT-2026-W12-C,CG-Model-A,RGB-9349,LINE-02,CNC-06,TOOL-10,FIX-A1,OP-008,Swing,2026-03-17 12:50:19,AOI,64.2,24225,869.0,3.23,1.0,-82.3,0.3124,0.0,0.7016,0.0271,781.1,45.3,None,None,Pass,OK
