Subgroup_ID,Process_Time_Start,Process_Time_End,Defect_Count,Subgroup_Size,P_Edge_Chipping,P_CL,P_UCL,P_LCL,P_OOC
33,2026-02-02 03:40:18,2026-02-02 04:55:07,0,5,0.0,0.0447,0.3219,0.0,False
34,2026-02-02 04:57:05,2026-02-02 05:42:22,0,5,0.0,0.0447,0.3219,0.0,False
35,2026-02-02 05:44:06,2026-02-02 06:42:07,0,5,0.0,0.0447,0.3219,0.0,False
36,2026-02-02 06:48:52,2026-02-02 07:32:03,0,5,0.0,0.0447,0.3219,0.0,False
37,2026-02-02 07:45:13,2026-02-02 08:33:01,0,5,0.0,0.0447,0.3219,0.0,False
38,2026-02-02 08:33:37,2026-02-02 09:43:38,0,5,0.0,0.0447,0.3219,0.0,False
39,2026-02-02 10:04:51,2026-02-02 10:59:30,0,5,0.0,0.0447,0.3219,0.0,False
40,2026-02-02 11:01:42,2026-02-02 11:37:20,0,5,0.0,0.0447,0.3219,0.0,False
41,2026-02-02 11:43:28,2026-02-02 12:18:42,0,5,0.0,0.0447,0.3219,0.0,False
42,2026-02-02 12:29:00,2026-02-02 13:07:38,0,5,0.0,0.0447,0.3219,0.0,False
43,2026-02-02 13:15:40,2026-02-02 13:54:31,1,5,0.2,0.0447,0.3219,0.0,False
44,2026-02-02 14:05:12,2026-02-02 15:12:23,0,5,0.0,0.0447,0.3219,0.0,False
45,2026-02-02 15:20:30,2026-02-02 16:56:07,0,5,0.0,0.0447,0.3219,0.0,False
46,2026-02-02 17:10:36,2026-02-02 17:44:53,1,5,0.2,0.0447,0.3219,0.0,False
47,2026-02-02 17:49:58,2026-02-02 18:40:12,0,5,0.0,0.0447,0.3219,0.0,False
48,2026-02-02 19:01:26,2026-02-02 19:30:07,1,5,0.2,0.0447,0.3219,0.0,False
49,2026-02-02 19:36:17,2026-02-02 20:12:12,0,5,0.0,0.0447,0.3219,0.0,False
50,2026-02-02 20:13:22,2026-02-02 20:45:41,1,5,0.2,0.0447,0.3219,0.0,False
51,2026-02-02 20:55:02,2026-02-02 22:01:06,0,5,0.0,0.0447,0.3219,0.0,False
52,2026-02-02 22:07:53,2026-02-02 22:45:58,1,5,0.2,0.0447,0.3219,0.0,False
53,2026-02-02 22:47:06,2026-02-02 23:25:51,0,5,0.0,0.0447,0.3219,0.0,False
54,2026-02-02 23:45:04,2026-02-03 00:25:32,0,5,0.0,0.0447,0.3219,0.0,False
55,2026-02-03 00:28:26,2026-02-03 01:48:59,0,5,0.0,0.0447,0.3219,0.0,False
56,2026-02-03 01:49:55,2026-02-03 02:25:24,0,5,0.0,0.0447,0.3219,0.0,False
57,2026-02-03 02:42:47,2026-02-03 03:49:46,0,5,0.0,0.0447,0.3219,0.0,False
58,2026-02-03 03:51:14,2026-02-03 05:01:14,0,5,0.0,0.0447,0.3219,0.0,False
59,2026-02-03 05:05:00,2026-02-03 05:44:00,1,5,0.2,0.0447,0.3219,0.0,False
60,2026-02-03 05:47:46,2026-02-03 07:41:15,1,5,0.2,0.0447,0.3219,0.0,False
61,2026-02-03 07:43:24,2026-02-03 07:55:57,0,5,0.0,0.0447,0.3219,0.0,False
62,2026-02-03 08:03:34,2026-02-03 08:32:55,1,5,0.2,0.0447,0.3219,0.0,False
63,2026-02-03 08:52:27,2026-02-03 09:34:13,0,5,0.0,0.0447,0.3219,0.0,False
64,2026-02-03 10:10:11,2026-02-03 11:01:56,1,5,0.2,0.0447,0.3219,0.0,False
65,2026-02-03 11:03:36,2026-02-03 12:19:04,0,5,0.0,0.0447,0.3219,0.0,False
66,2026-02-03 12:30:27,2026-02-03 12:54:55,1,5,0.2,0.0447,0.3219,0.0,False
67,2026-02-03 13:03:02,2026-02-03 13:20:39,0,5,0.0,0.0447,0.3219,0.0,False
68,2026-02-03 13:21:56,2026-02-03 14:19:21,1,5,0.2,0.0447,0.3219,0.0,False
69,2026-02-03 14:20:05,2026-02-03 14:38:50,0,5,0.0,0.0447,0.3219,0.0,False
70,2026-02-03 14:44:21,2026-02-03 15:39:55,1,5,0.2,0.0447,0.3219,0.0,False
71,2026-02-03 15:48:55,2026-02-03 16:37:20,0,5,0.0,0.0447,0.3219,0.0,False
72,2026-02-03 16:50:04,2026-02-03 17:35:52,0,5,0.0,0.0447,0.3219,0.0,False
73,2026-02-03 17:56:09,2026-02-03 18:05:26,0,5,0.0,0.0447,0.3219,0.0,False
74,2026-02-03 18:08:20,2026-02-03 19:17:44,0,5,0.0,0.0447,0.3219,0.0,False
75,2026-02-03 19:24:40,2026-02-03 20:05:26,0,5,0.0,0.0447,0.3219,0.0,False
76,2026-02-03 20:06:56,2026-02-03 20:32:49,0,5,0.0,0.0447,0.3219,0.0,False
77,2026-02-03 20:53:57,2026-02-03 21:49:45,0,5,0.0,0.0447,0.3219,0.0,False
78,2026-02-03 22:07:42,2026-02-03 22:47:49,0,5,0.0,0.0447,0.3219,0.0,False
79,2026-02-03 23:00:19,2026-02-03 23:50:16,0,5,0.0,0.0447,0.3219,0.0,False
80,2026-02-04 00:01:04,2026-02-04 01:00:41,0,5,0.0,0.0447,0.3219,0.0,False
81,2026-02-04 01:27:40,2026-02-04 02:15:52,0,5,0.0,0.0447,0.3219,0.0,False
82,2026-02-04 02:20:35,2026-02-04 02:57:14,0,5,0.0,0.0447,0.3219,0.0,False
83,2026-02-04 03:12:43,2026-02-04 03:36:29,0,5,0.0,0.0447,0.3219,0.0,False
84,2026-02-04 03:45:44,2026-02-04 04:08:25,0,5,0.0,0.0447,0.3219,0.0,False
85,2026-02-04 04:14:44,2026-02-04 05:14:11,0,5,0.0,0.0447,0.3219,0.0,False
86,2026-02-04 05:20:30,2026-02-04 05:52:50,0,5,0.0,0.0447,0.3219,0.0,False
87,2026-02-04 06:02:55,2026-02-04 06:27:39,0,5,0.0,0.0447,0.3219,0.0,False
88,2026-02-04 06:45:45,2026-02-04 07:46:58,1,5,0.2,0.0447,0.3219,0.0,False
89,2026-02-04 08:04:31,2026-02-04 08:39:08,0,5,0.0,0.0447,0.3219,0.0,False
90,2026-02-04 08:46:27,2026-02-04 09:55:01,0,5,0.0,0.0447,0.3219,0.0,False
91,2026-02-04 10:00:36,2026-02-04 10:45:05,0,5,0.0,0.0447,0.3219,0.0,False
92,2026-02-04 10:47:49,2026-02-04 11:19:52,0,5,0.0,0.0447,0.3219,0.0,False
93,2026-02-04 11:26:00,2026-02-04 12:43:14,0,5,0.0,0.0447,0.3219,0.0,False
94,2026-02-04 12:43:18,2026-02-04 13:37:37,1,5,0.2,0.0447,0.3219,0.0,False
95,2026-02-04 13:42:59,2026-02-04 14:18:41,0,5,0.0,0.0447,0.3219,0.0,False
96,2026-02-04 14:51:47,2026-02-04 15:26:26,0,5,0.0,0.0447,0.3219,0.0,False
97,2026-02-04 15:44:45,2026-02-04 16:20:35,0,5,0.0,0.0447,0.3219,0.0,False
98,2026-02-04 16:23:35,2026-02-04 16:39:27,0,5,0.0,0.0447,0.3219,0.0,False
99,2026-02-04 16:43:54,2026-02-04 17:02:59,1,5,0.2,0.0447,0.3219,0.0,False
100,2026-02-04 17:21:16,2026-02-04 17:38:18,1,5,0.2,0.0447,0.3219,0.0,False
101,2026-02-04 18:06:44,2026-02-04 18:35:17,0,5,0.0,0.0447,0.3219,0.0,False
102,2026-02-04 19:00:49,2026-02-04 19:53:25,0,5,0.0,0.0447,0.3219,0.0,False
103,2026-02-04 19:53:46,2026-02-04 20:19:04,0,5,0.0,0.0447,0.3219,0.0,False
104,2026-02-04 20:26:08,2026-02-04 21:51:24,0,5,0.0,0.0447,0.3219,0.0,False
105,2026-02-04 22:04:43,2026-02-04 22:27:59,1,5,0.2,0.0447,0.3219,0.0,False
106,2026-02-04 22:28:53,2026-02-04 23:10:53,0,5,0.0,0.0447,0.3219,0.0,False
107,2026-02-04 23:23:25,2026-02-05 00:12:27,0,5,0.0,0.0447,0.3219,0.0,False
108,2026-02-05 00:23:50,2026-02-05 01:16:24,0,5,0.0,0.0447,0.3219,0.0,False
109,2026-02-05 01:26:41,2026-02-05 02:24:26,0,5,0.0,0.0447,0.3219,0.0,False
110,2026-02-05 02:24:32,2026-02-05 02:33:05,0,5,0.0,0.0447,0.3219,0.0,False
111,2026-02-05 02:33:15,2026-02-05 03:03:29,0,5,0.0,0.0447,0.3219,0.0,False
112,2026-02-05 03:12:25,2026-02-05 03:54:49,0,5,0.0,0.0447,0.3219,0.0,False
113,2026-02-05 03:58:51,2026-02-05 04:42:07,0,5,0.0,0.0447,0.3219,0.0,False
114,2026-02-05 04:56:45,2026-02-05 05:42:34,0,5,0.0,0.0447,0.3219,0.0,False
115,2026-02-05 05:56:00,2026-02-05 06:16:25,0,5,0.0,0.0447,0.3219,0.0,False
116,2026-02-05 06:23:24,2026-02-05 07:48:21,0,5,0.0,0.0447,0.3219,0.0,False
117,2026-02-05 07:50:57,2026-02-05 08:17:25,1,5,0.2,0.0447,0.3219,0.0,False
118,2026-02-05 08:29:04,2026-02-05 09:20:26,0,5,0.0,0.0447,0.3219,0.0,False
119,2026-02-05 09:20:28,2026-02-05 09:57:32,0,5,0.0,0.0447,0.3219,0.0,False
120,2026-02-05 10:03:57,2026-02-05 10:39:46,0,5,0.0,0.0447,0.3219,0.0,False
121,2026-02-05 11:00:32,2026-02-05 11:35:12,0,5,0.0,0.0447,0.3219,0.0,False
122,2026-02-05 11:41:48,2026-02-05 12:13:14,0,5,0.0,0.0447,0.3219,0.0,False
123,2026-02-05 12:29:56,2026-02-05 12:49:15,0,5,0.0,0.0447,0.3219,0.0,False
124,2026-02-05 12:58:46,2026-02-05 13:49:29,0,5,0.0,0.0447,0.3219,0.0,False
125,2026-02-05 13:50:54,2026-02-05 14:14:36,0,5,0.0,0.0447,0.3219,0.0,False
126,2026-02-05 14:14:40,2026-02-05 15:10:09,0,5,0.0,0.0447,0.3219,0.0,False
127,2026-02-05 15:15:30,2026-02-05 15:50:58,0,5,0.0,0.0447,0.3219,0.0,False
128,2026-02-05 16:04:40,2026-02-05 17:00:57,0,5,0.0,0.0447,0.3219,0.0,False
129,2026-02-05 17:08:21,2026-02-05 17:32:39,0,5,0.0,0.0447,0.3219,0.0,False
130,2026-02-05 17:34:22,2026-02-05 17:53:47,0,5,0.0,0.0447,0.3219,0.0,False
131,2026-02-05 17:57:43,2026-02-05 18:34:40,0,5,0.0,0.0447,0.3219,0.0,False
132,2026-02-05 18:43:41,2026-02-05 19:09:36,1,5,0.2,0.0447,0.3219,0.0,False
133,2026-02-05 19:22:43,2026-02-05 19:56:18,0,5,0.0,0.0447,0.3219,0.0,False
134,2026-02-05 20:14:03,2026-02-05 21:05:21,0,5,0.0,0.0447,0.3219,0.0,False
135,2026-02-05 21:18:51,2026-02-05 22:12:16,0,5,0.0,0.0447,0.3219,0.0,False
136,2026-02-05 22:30:34,2026-02-05 22:38:39,0,5,0.0,0.0447,0.3219,0.0,False
137,2026-02-05 23:08:00,2026-02-06 01:10:55,0,5,0.0,0.0447,0.3219,0.0,False
138,2026-02-06 01:34:37,2026-02-06 02:06:07,0,5,0.0,0.0447,0.3219,0.0,False
139,2026-02-06 02:08:39,2026-02-06 02:32:01,0,5,0.0,0.0447,0.3219,0.0,False
140,2026-02-06 02:48:54,2026-02-06 03:17:22,0,5,0.0,0.0447,0.3219,0.0,False
141,2026-02-06 04:10:06,2026-02-06 04:54:21,0,5,0.0,0.0447,0.3219,0.0,False
142,2026-02-06 04:57:48,2026-02-06 06:16:38,0,5,0.0,0.0447,0.3219,0.0,False
143,2026-02-06 06:58:56,2026-02-06 07:34:23,0,5,0.0,0.0447,0.3219,0.0,False
144,2026-02-06 07:40:18,2026-02-06 08:29:03,0,5,0.0,0.0447,0.3219,0.0,False
145,2026-02-06 08:39:15,2026-02-06 08:58:55,0,5,0.0,0.0447,0.3219,0.0,False
146,2026-02-06 09:10:37,2026-02-06 09:46:16,0,5,0.0,0.0447,0.3219,0.0,False
147,2026-02-06 10:12:08,2026-02-06 10:42:45,0,5,0.0,0.0447,0.3219,0.0,False
148,2026-02-06 11:25:55,2026-02-06 12:03:08,0,5,0.0,0.0447,0.3219,0.0,False
149,2026-02-06 12:03:30,2026-02-06 12:24:11,0,5,0.0,0.0447,0.3219,0.0,False
150,2026-02-06 12:32:03,2026-02-06 13:00:50,2,5,0.4,0.0447,0.3219,0.0,True
151,2026-02-06 13:06:17,2026-02-06 13:17:53,0,5,0.0,0.0447,0.3219,0.0,False
152,2026-02-06 13:21:11,2026-02-06 13:38:16,0,5,0.0,0.0447,0.3219,0.0,False
153,2026-02-06 13:53:52,2026-02-06 14:32:15,0,5,0.0,0.0447,0.3219,0.0,False
154,2026-02-06 14:36:41,2026-02-06 15:06:27,0,5,0.0,0.0447,0.3219,0.0,False
155,2026-02-06 15:07:55,2026-02-06 16:15:12,1,5,0.2,0.0447,0.3219,0.0,False
156,2026-02-06 16:31:37,2026-02-06 16:57:05,0,5,0.0,0.0447,0.3219,0.0,False
157,2026-02-06 17:01:00,2026-02-06 17:49:41,1,5,0.2,0.0447,0.3219,0.0,False
158,2026-02-06 17:53:38,2026-02-06 19:07:58,0,5,0.0,0.0447,0.3219,0.0,False
159,2026-02-06 19:17:07,2026-02-06 20:20:13,0,5,0.0,0.0447,0.3219,0.0,False
160,2026-02-06 20:38:21,2026-02-06 21:08:05,0,5,0.0,0.0447,0.3219,0.0,False
161,2026-02-06 21:11:51,2026-02-06 21:24:38,0,5,0.0,0.0447,0.3219,0.0,False
162,2026-02-06 21:31:38,2026-02-06 22:02:37,0,5,0.0,0.0447,0.3219,0.0,False
163,2026-02-06 22:04:53,2026-02-06 22:25:18,0,5,0.0,0.0447,0.3219,0.0,False
164,2026-02-06 22:28:00,2026-02-06 22:52:47,0,5,0.0,0.0447,0.3219,0.0,False
165,2026-02-06 23:02:20,2026-02-06 23:32:21,0,5,0.0,0.0447,0.3219,0.0,False
166,2026-02-06 23:32:46,2026-02-07 00:36:13,1,5,0.2,0.0447,0.3219,0.0,False
167,2026-02-07 00:41:02,2026-02-07 01:34:25,0,5,0.0,0.0447,0.3219,0.0,False
168,2026-02-07 01:54:28,2026-02-07 02:30:36,0,5,0.0,0.0447,0.3219,0.0,False
169,2026-02-07 02:32:49,2026-02-07 03:26:50,0,5,0.0,0.0447,0.3219,0.0,False
170,2026-02-07 03:28:14,2026-02-07 04:02:51,1,5,0.2,0.0447,0.3219,0.0,False
171,2026-02-07 04:13:11,2026-02-07 04:28:52,0,5,0.0,0.0447,0.3219,0.0,False
172,2026-02-07 04:38:08,2026-02-07 05:24:43,0,5,0.0,0.0447,0.3219,0.0,False
173,2026-02-07 06:01:07,2026-02-07 06:48:14,0,5,0.0,0.0447,0.3219,0.0,False
174,2026-02-07 06:51:30,2026-02-07 07:17:45,0,5,0.0,0.0447,0.3219,0.0,False
175,2026-02-07 07:24:27,2026-02-07 08:02:01,0,5,0.0,0.0447,0.3219,0.0,False
176,2026-02-07 08:03:06,2026-02-07 08:39:17,0,5,0.0,0.0447,0.3219,0.0,False
177,2026-02-07 09:07:50,2026-02-07 09:41:53,0,5,0.0,0.0447,0.3219,0.0,False
178,2026-02-07 09:51:08,2026-02-07 10:21:17,1,5,0.2,0.0447,0.3219,0.0,False
179,2026-02-07 10:25:08,2026-02-07 11:02:42,1,5,0.2,0.0447,0.3219,0.0,False
180,2026-02-07 11:09:18,2026-02-07 11:58:35,0,5,0.0,0.0447,0.3219,0.0,False
181,2026-02-07 12:00:07,2026-02-07 12:19:50,0,5,0.0,0.0447,0.3219,0.0,False
182,2026-02-07 12:31:27,2026-02-07 13:30:59,1,5,0.2,0.0447,0.3219,0.0,False
183,2026-02-07 13:44:15,2026-02-07 14:14:17,0,5,0.0,0.0447,0.3219,0.0,False
184,2026-02-07 14:33:32,2026-02-07 14:49:58,0,5,0.0,0.0447,0.3219,0.0,False
185,2026-02-07 14:50:07,2026-02-07 15:14:19,0,5,0.0,0.0447,0.3219,0.0,False
186,2026-02-07 15:32:54,2026-02-07 15:55:07,0,5,0.0,0.0447,0.3219,0.0,False
187,2026-02-07 15:57:50,2026-02-07 17:03:36,0,5,0.0,0.0447,0.3219,0.0,False
188,2026-02-07 17:16:21,2026-02-07 17:55:38,0,5,0.0,0.0447,0.3219,0.0,False
189,2026-02-07 17:59:02,2026-02-07 18:29:20,0,5,0.0,0.0447,0.3219,0.0,False
190,2026-02-07 18:50:13,2026-02-07 19:54:07,0,5,0.0,0.0447,0.3219,0.0,False
191,2026-02-07 19:57:44,2026-02-07 20:28:50,0,5,0.0,0.0447,0.3219,0.0,False
192,2026-02-07 20:39:23,2026-02-07 21:07:11,0,5,0.0,0.0447,0.3219,0.0,False
193,2026-02-07 21:28:22,2026-02-07 21:59:09,0,5,0.0,0.0447,0.3219,0.0,False
194,2026-02-07 22:09:09,2026-02-07 22:26:49,0,5,0.0,0.0447,0.3219,0.0,False
195,2026-02-07 22:27:52,2026-02-07 23:26:15,0,5,0.0,0.0447,0.3219,0.0,False
196,2026-02-07 23:27:40,2026-02-08 00:15:52,1,5,0.2,0.0447,0.3219,0.0,False
197,2026-02-08 00:28:12,2026-02-08 00:54:23,0,5,0.0,0.0447,0.3219,0.0,False
198,2026-02-08 00:58:38,2026-02-08 01:48:10,0,5,0.0,0.0447,0.3219,0.0,False
199,2026-02-08 01:49:37,2026-02-08 02:45:41,0,5,0.0,0.0447,0.3219,0.0,False
200,2026-02-08 02:51:04,2026-02-08 03:41:57,0,5,0.0,0.0447,0.3219,0.0,False
201,2026-02-08 03:43:31,2026-02-08 04:35:38,0,5,0.0,0.0447,0.3219,0.0,False
202,2026-02-08 04:46:52,2026-02-08 05:10:45,1,5,0.2,0.0447,0.3219,0.0,False
203,2026-02-08 05:19:40,2026-02-08 05:58:13,0,5,0.0,0.0447,0.3219,0.0,False
204,2026-02-08 06:05:20,2026-02-08 07:04:44,0,5,0.0,0.0447,0.3219,0.0,False
205,2026-02-08 07:05:29,2026-02-08 07:35:50,0,5,0.0,0.0447,0.3219,0.0,False
206,2026-02-08 08:08:29,2026-02-08 08:39:31,0,5,0.0,0.0447,0.3219,0.0,False
207,2026-02-08 09:08:33,2026-02-08 09:21:43,0,5,0.0,0.0447,0.3219,0.0,False
208,2026-02-08 09:25:29,2026-02-08 09:35:13,1,5,0.2,0.0447,0.3219,0.0,False
209,2026-02-08 09:40:54,2026-02-08 10:03:36,0,5,0.0,0.0447,0.3219,0.0,False
210,2026-02-08 10:05:01,2026-02-08 11:14:34,1,5,0.2,0.0447,0.3219,0.0,False
211,2026-02-08 11:36:35,2026-02-08 11:45:55,2,5,0.4,0.0447,0.3219,0.0,True
212,2026-02-08 11:46:42,2026-02-08 12:14:06,0,5,0.0,0.0447,0.3219,0.0,False
213,2026-02-08 12:18:20,2026-02-08 13:09:22,0,5,0.0,0.0447,0.3219,0.0,False
214,2026-02-08 13:27:13,2026-02-08 14:03:56,0,5,0.0,0.0447,0.3219,0.0,False
215,2026-02-08 14:08:17,2026-02-08 14:45:45,0,5,0.0,0.0447,0.3219,0.0,False
216,2026-02-08 14:58:32,2026-02-08 16:08:46,1,5,0.2,0.0447,0.3219,0.0,False
217,2026-02-08 16:36:59,2026-02-08 17:26:48,0,5,0.0,0.0447,0.3219,0.0,False
218,2026-02-08 17:28:42,2026-02-08 18:00:17,0,5,0.0,0.0447,0.3219,0.0,False
219,2026-02-08 18:03:52,2026-02-08 18:56:56,0,5,0.0,0.0447,0.3219,0.0,False
220,2026-02-08 18:59:07,2026-02-08 19:30:46,0,5,0.0,0.0447,0.3219,0.0,False
221,2026-02-08 19:50:18,2026-02-08 21:09:07,0,5,0.0,0.0447,0.3219,0.0,False
222,2026-02-08 21:24:45,2026-02-08 22:00:50,1,5,0.2,0.0447,0.3219,0.0,False
223,2026-02-08 22:02:06,2026-02-08 22:09:11,0,5,0.0,0.0447,0.3219,0.0,False
224,2026-02-08 22:10:09,2026-02-08 22:27:18,0,5,0.0,0.0447,0.3219,0.0,False
225,2026-02-08 22:28:47,2026-02-08 22:59:53,0,5,0.0,0.0447,0.3219,0.0,False
226,2026-02-08 23:15:58,2026-02-09 00:02:58,3,5,0.6,0.0447,0.3219,0.0,True
227,2026-02-09 00:05:02,2026-02-09 00:38:22,0,5,0.0,0.0447,0.3219,0.0,False
228,2026-02-09 00:39:24,2026-02-09 01:09:32,0,5,0.0,0.0447,0.3219,0.0,False
229,2026-02-09 01:19:49,2026-02-09 01:33:13,1,5,0.2,0.0447,0.3219,0.0,False
230,2026-02-09 01:44:51,2026-02-09 02:11:48,0,5,0.0,0.0447,0.3219,0.0,False
231,2026-02-09 02:14:29,2026-02-09 03:02:57,0,5,0.0,0.0447,0.3219,0.0,False
232,2026-02-09 03:06:01,2026-02-09 03:40:39,0,5,0.0,0.0447,0.3219,0.0,False
233,2026-02-09 03:41:24,2026-02-09 04:31:40,0,5,0.0,0.0447,0.3219,0.0,False
234,2026-02-09 04:35:49,2026-02-09 05:00:41,0,5,0.0,0.0447,0.3219,0.0,False
235,2026-02-09 05:07:27,2026-02-09 05:19:05,0,5,0.0,0.0447,0.3219,0.0,False
236,2026-02-09 05:34:32,2026-02-09 06:38:35,0,5,0.0,0.0447,0.3219,0.0,False
237,2026-02-09 06:59:28,2026-02-09 07:19:47,0,5,0.0,0.0447,0.3219,0.0,False
238,2026-02-09 07:23:17,2026-02-09 07:53:46,0,5,0.0,0.0447,0.3219,0.0,False
239,2026-02-09 08:04:43,2026-02-09 08:38:02,1,5,0.2,0.0447,0.3219,0.0,False
240,2026-02-09 08:38:39,2026-02-09 09:18:27,0,5,0.0,0.0447,0.3219,0.0,False
241,2026-02-09 09:36:27,2026-02-09 10:19:39,0,5,0.0,0.0447,0.3219,0.0,False
242,2026-02-09 10:22:21,2026-02-09 10:59:54,1,5,0.2,0.0447,0.3219,0.0,False
243,2026-02-09 11:07:06,2026-02-09 11:58:56,0,5,0.0,0.0447,0.3219,0.0,False
244,2026-02-09 12:02:58,2026-02-09 12:18:42,0,5,0.0,0.0447,0.3219,0.0,False
245,2026-02-09 12:31:39,2026-02-09 13:21:26,1,5,0.2,0.0447,0.3219,0.0,False
246,2026-02-09 13:31:08,2026-02-09 13:55:56,0,5,0.0,0.0447,0.3219,0.0,False
247,2026-02-09 13:56:31,2026-02-09 15:44:15,0,5,0.0,0.0447,0.3219,0.0,False
248,2026-02-09 15:46:01,2026-02-09 16:06:38,0,5,0.0,0.0447,0.3219,0.0,False
249,2026-02-09 16:07:32,2026-02-09 16:49:25,0,5,0.0,0.0447,0.3219,0.0,False
250,2026-02-09 17:31:45,2026-02-09 18:31:31,1,5,0.2,0.0447,0.3219,0.0,False
251,2026-02-09 18:34:00,2026-02-09 19:30:39,0,5,0.0,0.0447,0.3219,0.0,False
252,2026-02-09 19:34:48,2026-02-09 20:43:57,0,5,0.0,0.0447,0.3219,0.0,False
253,2026-02-09 20:44:29,2026-02-09 21:09:59,1,5,0.2,0.0447,0.3219,0.0,False
254,2026-02-09 21:10:23,2026-02-09 21:42:35,0,5,0.0,0.0447,0.3219,0.0,False
255,2026-02-09 21:42:40,2026-02-09 21:57:58,0,5,0.0,0.0447,0.3219,0.0,False
256,2026-02-09 21:59:58,2026-02-09 22:46:29,0,5,0.0,0.0447,0.3219,0.0,False
257,2026-02-09 22:58:19,2026-02-10 00:00:52,0,5,0.0,0.0447,0.3219,0.0,False
258,2026-02-10 00:22:28,2026-02-10 00:57:29,1,5,0.2,0.0447,0.3219,0.0,False
259,2026-02-10 00:58:07,2026-02-10 01:43:32,0,5,0.0,0.0447,0.3219,0.0,False
260,2026-02-10 01:48:52,2026-02-10 02:44:01,1,5,0.2,0.0447,0.3219,0.0,False
261,2026-02-10 02:55:30,2026-02-10 03:35:45,1,5,0.2,0.0447,0.3219,0.0,False
262,2026-02-10 04:11:51,2026-02-10 04:21:07,0,5,0.0,0.0447,0.3219,0.0,False
263,2026-02-10 04:30:42,2026-02-10 04:59:39,0,5,0.0,0.0447,0.3219,0.0,False
264,2026-02-10 05:34:55,2026-02-10 06:29:42,0,5,0.0,0.0447,0.3219,0.0,False
265,2026-02-10 06:35:26,2026-02-10 06:50:41,0,5,0.0,0.0447,0.3219,0.0,False
266,2026-02-10 07:14:45,2026-02-10 07:40:51,0,5,0.0,0.0447,0.3219,0.0,False
