Glass_ID,Lot_ID,Product_Model,Raw_Glass_Batch,Line_ID,Machine_ID,Tool_ID,Fixture_ID,Operator_ID,Shift,Process_Time,Inspection_Station,Tool_Life_Pct,Spindle_Speed_rpm,Feed_Rate_mm_min,Coolant_Pressure_bar,Coolant_Pressure_Stability,Vacuum_Level_kPa,Chamfer_Width_mm,Chipping_Size_um,Thickness_mm,Warpage_mm,CS_MPa,DOL_um,Defect_Type,Defect_Location,AOI_Result,Final_Result,Individual_Chipping_um,Moving_Range_Chipping_um,I_CL,I_UCL,I_LCL,MR_CL,MR_UCL,MR_LCL,I_OOC,MR_OOC
GLS-2026-0045999,LOT-2026-W08-C,CG-Model-A,RGB-8990,LINE-01,CNC-04,TOOL-16,FIX-B1,OP-024,Day,2026-03-27 16:56:37,AOI,23.6,24111,876.7,3.08,0.912,-82.1,0.278,0.0,0.6939,0.0168,792.2,42.0,None,None,Pass,OK,0.0,10.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0010347,LOT-2026-W08-C,CG-Model-B,RGB-9987,LINE-01,CNC-04,TOOL-14,FIX-C3,OP-012,Night,2026-03-27 17:09:36,AOI,84.9,23754,921.6,3.38,0.948,-85.6,0.3161,18.9,0.6987,0.0457,781.7,46.4,None,None,Pass,OK,18.9,18.9,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0025019,LOT-2026-W08-C,CG-Model-A,RGB-9410,LINE-01,CNC-04,TOOL-12,FIX-B2,OP-024,Day,2026-03-27 17:11:51,AOI,70.2,24071,822.2,2.99,0.95,-80.9,0.3247,0.0,0.7015,0.0355,799.0,47.9,None,None,Pass,OK,0.0,18.9,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0017142,LOT-2026-W08-C,CG-Model-A,RGB-9435,LINE-01,CNC-04,TOOL-20,FIX-B1,OP-006,Day,2026-03-27 17:37:21,AOI,82.7,23726,871.2,3.13,0.935,-84.2,0.3081,68.8,0.6961,0.032,760.2,45.4,None,None,Pass,OK,68.8,68.8,12.19,66.13,0.0,20.28,66.25,0.0,True,True
GLS-2026-0044713,LOT-2026-W08-C,CG-Model-B,RGB-8649,LINE-02,CNC-04,TOOL-12,FIX-C1,OP-014,Day,2026-03-27 17:41:49,AOI,63.7,24670,846.4,3.3,0.969,-83.0,0.2987,12.0,0.7026,0.0254,786.5,46.3,None,None,Pass,OK,12.0,56.8,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0003310,LOT-2026-W08-C,CG-Model-A,RGB-8950,LINE-02,CNC-04,TOOL-12,FIX-A2,OP-017,Day,2026-03-27 17:46:02,AOI,44.7,23815,856.8,3.02,0.917,-83.1,0.2938,12.8,0.6939,0.0279,796.2,43.4,None,None,Pass,OK,12.8,0.8000000000000007,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0047200,LOT-2026-W08-C,CG-Model-C,RGB-9024,LINE-01,CNC-04,TOOL-17,FIX-C2,OP-003,Day,2026-03-27 17:49:33,AOI,85.1,23834,891.3,3.02,0.947,-76.8,0.31,95.0,0.7015,0.0218,780.4,45.0,Edge_Chipping,Speaker_Slot,Fail,NG,95.0,82.2,12.19,66.13,0.0,20.28,66.25,0.0,True,True
GLS-2026-0033470,LOT-2026-W08-C,CG-Model-B,RGB-8560,LINE-01,CNC-04,TOOL-14,FIX-B2,OP-021,Swing,2026-03-27 17:49:41,AOI,19.0,24291,858.1,3.08,0.91,-81.7,0.2959,0.0,0.6997,0.0259,776.6,49.9,None,None,Pass,OK,0.0,95.0,12.19,66.13,0.0,20.28,66.25,0.0,False,True
GLS-2026-0015819,LOT-2026-W08-C,CG-Model-A,RGB-8871,LINE-01,CNC-04,TOOL-17,FIX-A1,OP-012,Day,2026-03-27 17:58:24,AOI,48.5,23020,834.9,2.98,0.869,-85.7,0.302,0.0,0.7003,0.0016,792.2,43.4,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0026145,LOT-2026-W08-C,CG-Model-A,RGB-9047,LINE-02,CNC-04,TOOL-12,FIX-A3,OP-005,Day,2026-03-27 18:16:36,AOI,19.7,24172,780.1,3.18,1.0,-82.5,0.2826,0.0,0.7055,0.038,782.2,41.5,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0039239,LOT-2026-W08-C,CG-Model-B,RGB-8320,LINE-01,CNC-04,TOOL-14,FIX-C1,OP-009,Night,2026-03-27 18:40:04,AOI,40.6,23374,849.8,3.22,0.898,-82.1,0.2875,18.3,0.7023,0.0403,774.3,46.6,None,None,Pass,OK,18.3,18.3,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0016241,LOT-2026-W08-C,CG-Model-C,RGB-8982,LINE-02,CNC-04,TOOL-22,FIX-C1,OP-017,Night,2026-03-27 18:45:12,AOI,48.3,23826,824.5,3.13,1.0,-80.4,0.302,11.9,0.7037,0.0444,798.9,43.2,None,None,Pass,OK,11.9,6.4,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0014116,LOT-2026-W08-C,CG-Model-A,RGB-8420,LINE-01,CNC-04,TOOL-06,FIX-A3,OP-023,Swing,2026-03-27 18:52:31,AOI,33.9,23998,898.9,3.11,0.98,-82.7,0.2923,0.0,0.7083,0.0383,775.3,50.4,None,None,Pass,OK,0.0,11.9,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0043183,LOT-2026-W08-C,CG-Model-B,RGB-9290,LINE-01,CNC-04,TOOL-10,FIX-C2,OP-002,Swing,2026-03-27 19:18:55,AOI,49.6,23523,865.0,3.26,0.954,-87.8,0.3034,0.0,0.7056,0.0188,776.2,43.2,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0047008,LOT-2026-W08-C,CG-Model-C,RGB-8705,LINE-01,CNC-04,TOOL-01,FIX-B3,OP-016,Swing,2026-03-27 19:23:47,AOI,17.0,23914,788.0,3.38,0.988,-79.0,0.2879,0.0,0.6934,0.0185,791.8,46.3,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0044267,LOT-2026-W08-C,CG-Model-C,RGB-8634,LINE-01,CNC-04,TOOL-11,FIX-C1,OP-004,Day,2026-03-27 19:24:48,AOI,88.6,24343,868.1,3.37,0.938,-76.7,0.3096,52.4,0.698,0.0248,769.6,46.5,None,None,Pass,OK,52.4,52.4,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0040530,LOT-2026-W08-C,CG-Model-B,RGB-9066,LINE-02,CNC-04,TOOL-09,FIX-B2,OP-012,Swing,2026-03-27 20:11:56,AOI,69.0,23954,847.2,3.12,0.938,-73.1,0.3269,12.6,0.6963,0.0367,795.5,46.4,None,None,Pass,OK,12.6,39.8,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0024691,LOT-2026-W08-C,CG-Model-A,RGB-8952,LINE-01,CNC-04,TOOL-13,FIX-C2,OP-003,Day,2026-03-27 20:14:44,AOI,42.0,24384,762.8,3.02,0.97,-89.6,0.3067,0.0,0.6977,0.0082,806.3,49.4,None,None,Pass,OK,0.0,12.6,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0046010,LOT-2026-W08-C,CG-Model-B,RGB-9738,LINE-02,CNC-04,TOOL-04,FIX-A2,OP-007,Night,2026-03-27 20:19:56,AOI,57.5,24212,903.2,3.03,0.872,-77.7,0.2979,0.0,0.7017,0.0172,767.1,45.0,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0033992,LOT-2026-W08-C,CG-Model-A,RGB-9675,LINE-01,CNC-04,TOOL-02,FIX-C1,OP-004,Swing,2026-03-27 20:24:04,AOI,85.4,23796,818.4,3.29,0.918,-84.5,0.3186,162.9,0.7043,0.0133,791.7,46.5,Edge_Chipping,Speaker_Slot,Fail,NG,162.9,162.9,12.19,66.13,0.0,20.28,66.25,0.0,True,True
GLS-2026-0002918,LOT-2026-W08-C,CG-Model-B,RGB-9626,LINE-02,CNC-04,TOOL-24,FIX-C3,OP-009,Swing,2026-03-27 20:24:20,AOI,75.7,23763,797.1,3.34,1.0,-76.1,0.3127,0.0,0.6978,0.0261,766.9,47.1,None,None,Pass,OK,0.0,162.9,12.19,66.13,0.0,20.28,66.25,0.0,False,True
GLS-2026-0013074,LOT-2026-W08-C,CG-Model-B,RGB-8962,LINE-02,CNC-04,TOOL-05,FIX-C2,OP-013,Day,2026-03-27 20:35:28,AOI,55.2,24141,908.7,3.27,1.0,-80.7,0.3018,0.0,0.703,0.03,803.3,46.5,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0030820,LOT-2026-W08-C,CG-Model-A,RGB-9432,LINE-02,CNC-04,TOOL-14,FIX-C2,OP-029,Day,2026-03-27 21:02:32,AOI,26.7,23682,947.4,2.84,0.922,-80.0,0.2938,7.8,0.6998,0.0278,798.3,46.8,None,None,Pass,OK,7.8,7.8,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0006483,LOT-2026-W08-C,CG-Model-B,RGB-9641,LINE-02,CNC-04,TOOL-09,FIX-A1,OP-005,Day,2026-03-27 21:05:07,AOI,49.6,23998,828.1,2.93,0.882,-82.4,0.2951,0.0,0.6998,0.0319,773.0,44.9,None,None,Pass,OK,0.0,7.8,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0035504,LOT-2026-W08-C,CG-Model-B,RGB-8794,LINE-02,CNC-04,TOOL-01,FIX-B1,OP-008,Swing,2026-03-27 21:05:16,AOI,68.3,23761,823.4,2.95,0.871,-85.2,0.297,0.0,0.7045,0.0019,783.5,45.9,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0023931,LOT-2026-W08-C,CG-Model-C,RGB-8224,LINE-01,CNC-04,TOOL-09,FIX-A1,OP-006,Day,2026-03-27 21:11:41,AOI,84.8,23764,881.1,3.3,0.925,-86.1,0.3226,30.4,0.6998,0.0102,758.5,46.8,None,None,Pass,OK,30.4,30.4,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0040815,LOT-2026-W08-C,CG-Model-B,RGB-8792,LINE-02,CNC-04,TOOL-18,FIX-B2,OP-005,Day,2026-03-27 21:11:48,AOI,75.4,23866,873.7,3.19,0.947,-81.5,0.3153,16.2,0.6963,0.0122,778.3,47.9,None,None,Pass,OK,16.2,14.2,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0015190,LOT-2026-W08-C,CG-Model-B,RGB-9931,LINE-02,CNC-04,TOOL-05,FIX-A2,OP-029,Day,2026-03-27 21:22:21,AOI,69.8,24264,872.9,3.06,1.0,-81.7,0.3086,0.0,0.6989,0.0351,809.2,44.8,None,None,Pass,OK,0.0,16.2,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0002397,LOT-2026-W08-C,CG-Model-B,RGB-9089,LINE-01,CNC-04,TOOL-07,FIX-C3,OP-009,Night,2026-03-27 21:38:21,AOI,36.4,23819,785.7,3.04,1.0,-84.9,0.288,0.0,0.6997,0.0237,772.9,46.0,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0004911,LOT-2026-W08-C,CG-Model-B,RGB-8641,LINE-01,CNC-04,TOOL-24,FIX-B2,OP-029,Day,2026-03-27 21:48:13,AOI,64.6,24156,826.1,3.3,0.928,-81.9,0.3134,6.7,0.7002,0.0432,766.9,48.2,None,None,Pass,OK,6.7,6.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0020887,LOT-2026-W08-C,CG-Model-B,RGB-9860,LINE-01,CNC-04,TOOL-15,FIX-C2,OP-013,Day,2026-03-27 21:52:09,AOI,58.5,24080,785.3,3.12,0.971,-78.5,0.3009,0.0,0.6945,0.0225,785.8,47.2,None,None,Pass,OK,0.0,6.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0023361,LOT-2026-W08-C,CG-Model-B,RGB-8008,LINE-02,CNC-04,TOOL-22,FIX-A3,OP-007,Swing,2026-03-27 21:55:35,AOI,13.9,23885,907.3,3.07,1.0,-81.8,0.2835,0.0,0.7064,0.011,783.1,44.3,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0034552,LOT-2026-W08-C,CG-Model-C,RGB-8045,LINE-02,CNC-04,TOOL-20,FIX-A3,OP-028,Day,2026-03-27 22:06:35,AOI,93.5,24463,813.0,3.2,0.955,-85.4,0.3236,12.7,0.7101,0.0255,785.2,44.9,None,None,Pass,OK,12.7,12.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0014981,LOT-2026-W08-C,CG-Model-B,RGB-8110,LINE-02,CNC-04,TOOL-20,FIX-C3,OP-020,Swing,2026-03-27 22:18:40,AOI,85.7,23872,857.8,3.03,1.0,-79.1,0.3195,46.0,0.7038,0.0343,774.2,47.9,None,None,Pass,OK,46.0,33.3,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0022828,LOT-2026-W08-C,CG-Model-C,RGB-8821,LINE-01,CNC-04,TOOL-06,FIX-B2,OP-024,Swing,2026-03-27 22:25:13,AOI,54.4,24027,899.5,3.09,0.995,-82.2,0.3166,21.7,0.7029,0.0208,791.7,46.2,None,None,Pass,OK,21.7,24.3,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0005057,LOT-2026-W08-C,CG-Model-B,RGB-8118,LINE-01,CNC-04,TOOL-06,FIX-A1,OP-001,Day,2026-03-27 22:44:58,AOI,56.1,24448,867.8,3.1,1.0,-85.8,0.3031,0.0,0.6934,0.0209,795.8,49.2,None,None,Pass,OK,0.0,21.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0014135,LOT-2026-W08-C,CG-Model-B,RGB-9538,LINE-01,CNC-04,TOOL-22,FIX-C3,OP-030,Swing,2026-03-27 22:45:29,AOI,18.8,24164,910.0,2.88,0.86,-77.5,0.2972,0.0,0.6974,0.0379,780.7,47.1,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0032801,LOT-2026-W08-C,CG-Model-C,RGB-9286,LINE-02,CNC-04,TOOL-18,FIX-C1,OP-021,Swing,2026-03-27 22:47:49,AOI,39.2,23939,824.3,3.31,0.993,-78.3,0.2996,0.0,0.7011,0.0265,771.8,46.4,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0034843,LOT-2026-W08-C,CG-Model-B,RGB-8061,LINE-01,CNC-04,TOOL-13,FIX-A2,OP-001,Swing,2026-03-27 23:02:07,AOI,52.8,24266,893.4,2.92,0.964,-77.9,0.3002,0.0,0.694,0.0323,775.7,48.8,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0024505,LOT-2026-W08-C,CG-Model-B,RGB-9619,LINE-02,CNC-04,TOOL-23,FIX-B1,OP-025,Swing,2026-03-27 23:08:44,AOI,72.1,23177,861.6,3.25,0.911,-86.2,0.3214,0.0,0.6906,0.0197,778.0,46.1,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0021912,LOT-2026-W08-C,CG-Model-A,RGB-9760,LINE-01,CNC-04,TOOL-23,FIX-B3,OP-012,Day,2026-03-27 23:09:44,AOI,52.9,24072,900.5,3.14,0.965,-74.7,0.3042,24.6,0.6984,0.018,811.5,47.3,None,None,Pass,OK,24.6,24.6,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0000383,LOT-2026-W08-C,CG-Model-A,RGB-8848,LINE-01,CNC-04,TOOL-07,FIX-B1,OP-001,Day,2026-03-27 23:14:31,AOI,17.3,23927,771.2,2.82,0.878,-83.0,0.2851,0.0,0.6982,0.0256,791.4,44.2,None,None,Pass,OK,0.0,24.6,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0031009,LOT-2026-W08-C,CG-Model-A,RGB-8263,LINE-02,CNC-04,TOOL-14,FIX-A3,OP-028,Day,2026-03-27 23:16:42,AOI,71.5,24349,806.8,2.98,0.884,-80.4,0.3168,10.6,0.7008,0.0205,809.4,48.5,None,None,Pass,OK,10.6,10.6,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0027896,LOT-2026-W08-C,CG-Model-B,RGB-9182,LINE-01,CNC-04,TOOL-18,FIX-A1,OP-027,Swing,2026-03-27 23:19:50,AOI,28.7,24010,822.4,3.08,0.952,-82.9,0.2772,0.0,0.6989,0.0321,766.1,46.0,None,None,Pass,OK,0.0,10.6,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0032044,LOT-2026-W08-C,CG-Model-B,RGB-9225,LINE-01,CNC-04,TOOL-09,FIX-C3,OP-015,Day,2026-03-27 23:34:14,AOI,38.8,23954,882.7,3.16,1.0,-84.0,0.2946,0.0,0.7005,0.0399,782.5,47.5,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0049515,LOT-2026-W08-C,CG-Model-B,RGB-8887,LINE-01,CNC-04,TOOL-24,FIX-C3,OP-022,Swing,2026-03-27 23:56:15,AOI,58.5,24074,869.3,3.02,0.89,-75.0,0.3124,0.0,0.688,0.021,794.1,48.8,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0011332,LOT-2026-W08-C,CG-Model-B,RGB-9268,LINE-01,CNC-04,TOOL-14,FIX-C1,OP-021,Day,2026-03-27 23:58:13,AOI,69.6,23943,882.2,3.23,0.998,-78.1,0.3033,19.3,0.7049,0.0282,790.5,44.4,None,None,Pass,OK,19.3,19.3,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0025316,LOT-2026-W08-C,CG-Model-C,RGB-8790,LINE-02,CNC-04,TOOL-24,FIX-B3,OP-027,Day,2026-03-28 00:00:00,AOI,38.5,23894,851.5,3.24,0.972,-82.8,0.2821,0.0,0.7039,0.0335,806.1,41.8,None,None,Pass,OK,0.0,19.3,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0031676,LOT-2026-W08-C,CG-Model-A,RGB-9700,LINE-01,CNC-04,TOOL-23,FIX-C3,OP-017,Swing,2026-03-28 00:04:32,AOI,54.5,24372,855.8,3.14,0.966,-76.7,0.3043,0.0,0.699,0.0369,786.7,44.8,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0026973,LOT-2026-W08-C,CG-Model-B,RGB-8097,LINE-02,CNC-04,TOOL-19,FIX-C1,OP-002,Night,2026-03-28 00:10:19,AOI,68.0,23794,831.9,3.16,0.886,-81.9,0.2971,17.3,0.6967,0.0273,777.0,49.7,None,None,Pass,OK,17.3,17.3,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0020380,LOT-2026-W08-C,CG-Model-B,RGB-9849,LINE-01,CNC-04,TOOL-11,FIX-C3,OP-019,Night,2026-03-28 00:25:31,AOI,75.5,23975,853.0,3.15,1.0,-82.9,0.2953,10.5,0.6987,0.0378,775.0,43.6,None,None,Pass,OK,10.5,6.800000000000001,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0027807,LOT-2026-W08-C,CG-Model-A,RGB-9615,LINE-01,CNC-04,TOOL-07,FIX-C3,OP-026,Day,2026-03-28 00:29:52,AOI,22.7,23930,835.8,3.19,0.952,-82.0,0.2855,0.0,0.6954,0.0336,797.8,44.2,None,None,Pass,OK,0.0,10.5,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0016441,LOT-2026-W08-C,CG-Model-C,RGB-8773,LINE-02,CNC-04,TOOL-15,FIX-C2,OP-003,Night,2026-03-28 00:38:15,AOI,24.1,24034,926.9,3.28,0.973,-82.8,0.3065,23.7,0.697,0.0216,784.6,46.1,None,None,Pass,OK,23.7,23.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0017074,LOT-2026-W08-C,CG-Model-B,RGB-8532,LINE-02,CNC-04,TOOL-01,FIX-C3,OP-002,Day,2026-03-28 00:53:45,AOI,63.9,23843,847.4,3.08,0.949,-83.6,0.3158,0.0,0.7032,0.0339,761.4,41.2,None,None,Pass,OK,0.0,23.7,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0034435,LOT-2026-W08-C,CG-Model-C,RGB-9465,LINE-02,CNC-04,TOOL-12,FIX-A2,OP-022,Day,2026-03-28 01:01:17,AOI,70.0,23722,865.2,3.12,0.963,-80.8,0.3027,0.0,0.6982,0.0327,785.4,46.1,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0024826,LOT-2026-W08-C,CG-Model-C,RGB-9477,LINE-01,CNC-04,TOOL-23,FIX-C3,OP-007,Day,2026-03-28 01:05:12,AOI,67.7,24879,853.4,3.13,0.992,-86.2,0.3032,0.0,0.6922,0.0225,798.5,43.9,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0019256,LOT-2026-W08-C,CG-Model-C,RGB-8771,LINE-02,CNC-04,TOOL-18,FIX-B2,OP-005,Night,2026-03-28 01:22:46,AOI,45.0,23875,850.4,2.83,0.82,-77.1,0.3028,29.4,0.7015,0.0367,805.4,48.4,None,None,Pass,OK,29.4,29.4,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0037597,LOT-2026-W08-C,CG-Model-C,RGB-8259,LINE-02,CNC-04,TOOL-06,FIX-C2,OP-010,Swing,2026-03-28 02:09:18,AOI,63.8,24331,865.7,2.99,0.909,-83.7,0.2859,0.0,0.7024,0.0157,801.3,48.8,None,None,Pass,OK,0.0,29.4,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0005108,LOT-2026-W08-C,CG-Model-B,RGB-9410,LINE-02,CNC-04,TOOL-20,FIX-C3,OP-008,Swing,2026-03-28 02:24:08,AOI,66.8,23803,794.6,3.04,0.903,-81.8,0.3105,0.0,0.698,0.0339,784.8,42.4,None,None,Pass,OK,0.0,0.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0002028,LOT-2026-W08-C,CG-Model-B,RGB-9119,LINE-02,CNC-04,TOOL-09,FIX-C3,OP-015,Day,2026-03-28 02:29:06,AOI,47.2,24708,858.9,3.18,0.994,-83.7,0.3039,7.0,0.6965,0.0421,774.1,45.9,None,None,Pass,OK,7.0,7.0,12.19,66.13,0.0,20.28,66.25,0.0,False,False
GLS-2026-0041365,LOT-2026-W08-C,CG-Model-A,RGB-9911,LINE-02,CNC-04,TOOL-18,FIX-C1,OP-021,Day,2026-03-28 02:57:48,AOI,35.5,23973,835.4,3.04,0.964,-77.1,0.2873,14.3,0.6998,0.0265,769.1,44.2,None,None,Pass,OK,14.3,7.300000000000001,12.19,66.13,0.0,20.28,66.25,0.0,False,False
