Tool_Life_Bin,Coolant_Stability_Bin,Machine_ID,Fixture_ID,Shift,Total_Count,Actual_Edge_Chipping_Rate,Mean_Predicted_Risk,NG_Rate
Mid_50_75,Watch,CNC-04,FIX-B3,All,105,0.95,0.16,0.95
Low_0_50,Watch,CNC-02,FIX-C1,All,116,0.0,0.16,1.72
Mid_50_75,Stable,CNC-04,All,All,1537,0.0,0.16,0.72
Low_0_50,Stable,CNC-06,All,All,1678,0.06,0.16,0.66
Mid_50_75,Watch,CNC-01,FIX-A1,All,117,0.0,0.16,0.85
Mid_50_75,Watch,CNC-03,FIX-C1,All,128,0.0,0.16,1.56
Low_0_50,Watch,CNC-01,FIX-B2,All,116,0.0,0.15,0.86
Mid_50_75,Watch,CNC-04,FIX-C3,All,102,0.0,0.15,1.96
Low_0_50,Stable,CNC-04,FIX-A3,All,167,0.0,0.15,1.2
Mid_50_75,Watch,CNC-05,FIX-B2,All,129,0.0,0.15,0.78
Mid_50_75,Watch,CNC-05,FIX-C1,All,124,0.0,0.15,0.0
Low_0_50,Watch,CNC-06,FIX-A1,All,102,0.0,0.15,0.98
Low_0_50,Stable,CNC-04,FIX-A1,All,183,0.0,0.15,0.55
Mid_50_75,Watch,CNC-01,FIX-C2,All,102,0.0,0.15,0.98
Low_0_50,Watch,CNC-04,FIX-C3,All,105,0.0,0.15,0.95
Mid_50_75,Watch,CNC-02,FIX-A2,All,104,0.0,0.15,0.0
Mid_50_75,Watch,CNC-01,All,All,992,0.0,0.14,1.01
Low_0_50,Watch,All,All,All,5985,0.03,0.14,0.82
Mid_50_75,Stable,CNC-01,FIX-C1,Day,108,0.0,0.14,0.93
Low_0_50,Stable,CNC-04,FIX-B3,Day,106,0.0,0.14,0.94
Mid_50_75,Watch,CNC-05,FIX-A3,All,100,0.0,0.14,1.0
Mid_50_75,Stable,CNC-04,FIX-B1,All,153,0.0,0.14,0.0
Mid_50_75,Stable,CNC-03,FIX-C1,All,182,0.0,0.14,0.55
Low_0_50,Watch,CNC-06,FIX-C3,All,112,0.0,0.14,0.0
Low_0_50,Stable,CNC-04,FIX-C2,All,200,0.0,0.14,0.0
Mid_50_75,Stable,CNC-06,FIX-B1,Day,101,0.0,0.14,0.0
Mid_50_75,Stable,All,All,All,9810,0.08,0.14,0.65
Low_0_50,Watch,CNC-06,FIX-B1,All,117,0.0,0.14,0.0
Mid_50_75,Stable,CNC-01,FIX-C1,All,210,0.0,0.14,0.48
Low_0_50,Watch,CNC-03,FIX-C3,All,123,0.0,0.13,0.81
Low_0_50,Stable,CNC-02,FIX-C1,All,185,0.0,0.13,0.54
Low_0_50,Watch,CNC-01,FIX-A1,All,108,0.0,0.13,0.0
Low_0_50,Stable,All,All,All,9929,0.06,0.13,0.87
Low_0_50,Stable,CNC-05,FIX-C1,All,191,0.0,0.13,1.05
Mid_50_75,Stable,CNC-02,FIX-C1,All,212,0.0,0.13,0.0
Mid_50_75,Stable,CNC-03,FIX-B2,All,175,0.57,0.13,0.57
Low_0_50,Watch,CNC-05,FIX-B2,All,117,0.0,0.13,0.85
Mid_50_75,Stable,CNC-04,FIX-A1,All,163,0.0,0.13,1.23
Low_0_50,Stable,CNC-01,FIX-C1,All,203,0.0,0.13,0.49
Mid_50_75,Stable,CNC-04,FIX-A3,All,140,0.0,0.13,0.0
Mid_50_75,Stable,CNC-06,FIX-B3,All,207,0.0,0.13,0.0
Low_0_50,Stable,CNC-04,FIX-B3,All,199,0.0,0.13,0.5
Mid_50_75,Watch,CNC-02,FIX-B3,All,110,0.0,0.12,1.82
Mid_50_75,Watch,CNC-02,FIX-C1,All,125,0.0,0.12,0.0
Low_0_50,Stable,CNC-04,FIX-B1,All,195,0.0,0.12,0.51
Low_0_50,Stable,CNC-05,FIX-B2,All,203,0.0,0.12,0.0
Low_0_50,Stable,CNC-04,FIX-A2,All,170,0.0,0.12,1.18
Low_0_50,Watch,CNC-01,FIX-A3,All,121,0.0,0.12,0.83
Low_0_50,Stable,CNC-01,FIX-C1,Day,104,0.0,0.12,0.0
Low_0_50,Watch,CNC-03,FIX-A3,All,122,0.0,0.12,0.82
Mid_50_75,Stable,CNC-06,FIX-C3,All,192,0.0,0.12,0.52
Low_0_50,Watch,CNC-06,FIX-C2,All,106,0.0,0.12,0.94
Low_0_50,Stable,CNC-06,FIX-A1,Day,113,0.0,0.12,0.0
Low_0_50,Watch,CNC-04,FIX-C2,All,120,0.0,0.12,0.83
Mid_50_75,Stable,CNC-06,FIX-A3,All,183,0.0,0.12,1.09
Low_0_50,Watch,CNC-05,FIX-B3,All,114,0.0,0.11,0.0
Low_0_50,Stable,CNC-03,FIX-C1,All,175,0.0,0.11,1.71
Mid_50_75,Watch,CNC-01,FIX-B1,All,114,0.0,0.11,1.75
Mid_50_75,Stable,CNC-06,FIX-B3,Day,110,0.0,0.11,0.0
Low_0_50,Watch,CNC-03,FIX-B2,All,102,0.0,0.11,0.0
Mid_50_75,Watch,CNC-05,All,All,1011,0.0,0.11,0.89
Mid_50_75,Watch,CNC-02,FIX-A3,All,105,0.0,0.11,0.0
Mid_50_75,Watch,CNC-03,FIX-B2,All,115,0.0,0.11,0.87
Low_0_50,Stable,CNC-06,FIX-A1,All,193,0.0,0.11,0.52
Low_0_50,Stable,CNC-04,FIX-A1,Day,103,0.0,0.11,0.0
Low_0_50,Watch,CNC-01,FIX-C1,All,107,0.0,0.11,2.8
Low_0_50,Watch,CNC-06,FIX-B3,All,108,0.0,0.11,0.93
Low_0_50,Watch,CNC-01,All,All,1030,0.0,0.11,1.36
Mid_50_75,Stable,CNC-01,FIX-C2,All,167,0.0,0.11,0.6
Low_0_50,Watch,CNC-01,FIX-B3,All,118,0.0,0.11,0.85
Mid_50_75,Watch,CNC-03,All,All,999,0.0,0.11,0.9
Low_0_50,Watch,CNC-03,All,All,1032,0.0,0.11,0.87
Low_0_50,Watch,CNC-06,FIX-A2,All,104,0.0,0.11,0.0
Low_0_50,Stable,CNC-06,FIX-A3,Day,113,0.0,0.1,0.88
Mid_50_75,Stable,CNC-04,FIX-C2,All,191,0.0,0.1,2.09
Mid_50_75,Watch,CNC-03,FIX-C2,All,111,0.0,0.1,0.9
Mid_50_75,Stable,CNC-06,FIX-C2,All,173,0.0,0.1,0.58
Low_0_50,Stable,CNC-03,FIX-C1,Day,101,0.0,0.1,1.98
Mid_50_75,Watch,CNC-05,FIX-C3,All,109,0.0,0.1,0.92
Mid_50_75,Watch,CNC-05,FIX-C2,All,105,0.0,0.1,1.9
Mid_50_75,Watch,CNC-05,FIX-B3,All,105,0.0,0.1,0.95
Mid_50_75,Watch,CNC-05,FIX-B1,All,102,0.0,0.1,1.96
Mid_50_75,Watch,CNC-01,FIX-C3,All,119,0.0,0.1,0.84
Mid_50_75,Watch,CNC-02,All,All,956,0.0,0.1,0.63
Low_0_50,Stable,CNC-06,FIX-C2,All,198,0.0,0.1,0.51
Low_0_50,Stable,CNC-01,FIX-B2,All,193,0.0,0.1,1.04
Low_0_50,Stable,CNC-06,FIX-B3,All,172,0.0,0.1,0.0
Low_0_50,Watch,CNC-05,All,All,1015,0.0,0.1,0.3
Low_0_50,Stable,CNC-06,FIX-B1,All,178,0.0,0.1,0.56
Low_0_50,Watch,CNC-03,FIX-A1,All,114,0.0,0.1,0.0
Low_0_50,Watch,CNC-02,FIX-C3,All,120,0.0,0.1,1.67
Low_0_50,Watch,CNC-05,FIX-B1,All,104,0.0,0.1,0.96
Low_0_50,Watch,CNC-01,FIX-B1,All,131,0.0,0.1,0.0
Low_0_50,Watch,CNC-02,FIX-A2,All,110,0.0,0.1,0.91
Low_0_50,Stable,CNC-02,FIX-A2,All,173,0.0,0.1,0.0
Low_0_50,Stable,CNC-04,FIX-C2,Day,108,0.0,0.09,0.0
Mid_50_75,Watch,CNC-05,FIX-A2,All,115,0.0,0.09,0.0
Low_0_50,Stable,CNC-03,FIX-B2,All,163,0.0,0.09,1.23
Mid_50_75,Watch,CNC-06,FIX-A2,All,109,0.0,0.09,0.0
Low_0_50,Watch,CNC-02,FIX-A3,All,121,0.0,0.09,1.65
Low_0_50,Stable,CNC-04,FIX-C3,Day,100,0.0,0.09,1.0
Mid_50_75,Stable,CNC-06,FIX-A2,All,190,0.53,0.09,1.58
Low_0_50,Stable,CNC-04,FIX-C3,All,195,0.0,0.09,1.03
Mid_50_75,Stable,CNC-01,FIX-B2,All,174,0.0,0.09,0.0
Mid_50_75,Watch,CNC-05,FIX-A1,All,122,0.0,0.09,0.82
Low_0_50,Watch,CNC-02,All,All,984,0.0,0.09,1.22
Low_0_50,Watch,CNC-05,FIX-C3,All,126,0.0,0.09,0.0
Mid_50_75,Watch,CNC-03,FIX-A3,All,106,0.0,0.09,0.0
Low_0_50,Stable,CNC-06,FIX-A3,All,206,0.0,0.09,0.49
Mid_50_75,Watch,CNC-02,FIX-C2,All,106,0.0,0.09,0.94
Mid_50_75,Stable,CNC-04,FIX-C3,All,176,0.0,0.09,0.0
Mid_50_75,Stable,CNC-04,FIX-C2,Day,101,0.0,0.09,2.97
Mid_50_75,Stable,CNC-02,FIX-B2,All,162,0.0,0.08,0.62
Mid_50_75,Stable,CNC-05,FIX-B2,All,203,0.0,0.08,0.49
Low_0_50,Watch,CNC-03,FIX-C2,All,112,0.0,0.08,1.79
Mid_50_75,Stable,CNC-05,FIX-A1,All,189,0.0,0.08,0.53
Mid_50_75,Stable,CNC-05,FIX-C1,All,183,0.0,0.08,0.0
Mid_50_75,Stable,CNC-01,FIX-C3,All,171,0.0,0.08,0.0
Mid_50_75,Stable,CNC-05,FIX-C2,All,184,0.0,0.08,0.0
Mid_50_75,Stable,CNC-02,FIX-A1,All,191,0.0,0.08,0.0
Low_0_50,Watch,CNC-05,FIX-A3,All,121,0.0,0.08,0.0
Low_0_50,Stable,CNC-01,FIX-B1,All,163,0.0,0.08,0.61
Low_0_50,Watch,CNC-05,FIX-A2,All,113,0.0,0.08,0.0
Low_0_50,Stable,CNC-02,FIX-A1,All,155,0.0,0.08,1.94
Low_0_50,Stable,CNC-01,All,All,1689,0.0,0.08,0.77
Low_0_50,Watch,CNC-01,FIX-C2,All,133,0.0,0.08,3.76
Mid_50_75,Stable,CNC-06,FIX-A2,Day,102,0.98,0.08,1.96
Low_0_50,Stable,CNC-05,FIX-C3,All,185,0.0,0.08,0.0
Low_0_50,Stable,CNC-05,FIX-C2,All,188,0.0,0.08,0.53
Low_0_50,Watch,CNC-03,FIX-A2,All,121,0.0,0.08,1.65
Mid_50_75,Stable,CNC-01,All,All,1662,0.0,0.08,0.6
Low_0_50,Watch,CNC-02,FIX-C2,All,113,0.0,0.08,2.65
Mid_50_75,Stable,CNC-03,All,All,1605,0.06,0.08,0.5
Low_0_50,Stable,CNC-02,FIX-B2,All,153,0.0,0.08,0.0
Mid_50_75,Watch,CNC-06,FIX-C3,All,106,0.0,0.08,0.94
Mid_50_75,Stable,CNC-02,All,All,1679,0.0,0.07,0.48
Low_0_50,Stable,CNC-02,All,All,1579,0.0,0.07,0.89
Low_0_50,Stable,CNC-01,FIX-A3,All,186,0.0,0.07,1.08
Low_0_50,Stable,CNC-01,FIX-A2,All,188,0.0,0.07,0.53
Low_0_50,Stable,CNC-01,FIX-A1,All,187,0.0,0.07,0.53
Low_0_50,Watch,CNC-03,FIX-B1,All,115,0.0,0.07,0.0
Mid_50_75,Stable,CNC-02,FIX-A3,Day,109,0.0,0.07,0.0
Low_0_50,Stable,CNC-05,All,All,1732,0.0,0.07,0.92
Mid_50_75,Stable,CNC-01,FIX-B1,Day,105,0.0,0.07,0.95
Mid_50_75,Stable,CNC-01,FIX-A1,Day,102,0.0,0.07,0.0
Low_0_50,Stable,CNC-01,FIX-C2,All,204,0.0,0.07,0.49
Low_0_50,Stable,CNC-01,FIX-A3,Day,109,0.0,0.07,0.92
Low_0_50,Stable,CNC-01,FIX-B3,All,187,0.0,0.07,1.6
Mid_50_75,Stable,CNC-05,All,All,1615,0.0,0.07,0.56
Low_0_50,Stable,CNC-02,FIX-C2,All,186,0.0,0.07,1.61
Mid_50_75,Stable,CNC-01,FIX-A1,All,196,0.0,0.07,0.0
Mid_50_75,Stable,CNC-02,FIX-A3,All,201,0.0,0.07,1.0
Mid_50_75,Stable,CNC-03,FIX-A3,All,184,0.0,0.07,1.09
Mid_50_75,Stable,CNC-02,FIX-B1,All,169,0.0,0.07,0.59
Mid_50_75,Watch,CNC-02,FIX-B1,All,114,0.0,0.07,0.88
Mid_50_75,Watch,CNC-03,FIX-A1,All,112,0.0,0.07,2.68
Low_0_50,Stable,CNC-05,FIX-A1,All,202,0.0,0.07,1.49
Low_0_50,Stable,CNC-06,FIX-A2,All,169,0.0,0.07,1.18
Low_0_50,Watch,CNC-05,FIX-A1,All,117,0.0,0.06,0.85
Low_0_50,Stable,CNC-03,All,All,1588,0.0,0.06,0.88
Low_0_50,Stable,CNC-03,FIX-C3,All,197,0.0,0.06,0.0
Mid_50_75,Stable,CNC-01,FIX-A2,All,186,0.0,0.06,1.61
Mid_50_75,Stable,CNC-03,FIX-C3,All,182,0.0,0.06,0.0
Mid_50_75,Stable,CNC-03,FIX-C2,All,181,0.0,0.06,0.0
Low_0_50,Stable,CNC-01,FIX-C2,Day,103,0.0,0.06,0.0
Low_0_50,Stable,CNC-03,FIX-C2,All,169,0.0,0.06,1.78
Low_0_50,Stable,CNC-02,FIX-B3,Day,105,0.0,0.06,0.0
Low_0_50,Stable,CNC-02,FIX-C3,All,158,0.0,0.06,1.27
Low_0_50,Stable,CNC-03,FIX-B3,All,178,0.0,0.06,0.0
Low_0_50,Stable,CNC-03,FIX-B1,All,182,0.0,0.06,2.2
Mid_50_75,Stable,CNC-01,FIX-B1,All,198,0.0,0.06,0.51
Mid_50_75,Stable,CNC-02,FIX-A2,All,175,0.0,0.06,1.14
Mid_50_75,Stable,CNC-01,FIX-A2,Day,106,0.0,0.06,1.89
Low_0_50,Stable,CNC-03,FIX-A2,All,193,0.0,0.06,0.0
Low_0_50,Stable,CNC-05,FIX-B1,All,195,0.0,0.06,1.03
Mid_50_75,Stable,CNC-05,FIX-B3,All,173,0.0,0.06,0.58
Mid_50_75,Stable,CNC-02,FIX-B3,All,192,0.0,0.06,1.04
Mid_50_75,Stable,CNC-05,FIX-A2,All,176,0.0,0.06,0.0
Mid_50_75,Watch,CNC-03,FIX-B1,All,132,0.0,0.06,0.0
Mid_50_75,Stable,CNC-03,FIX-A2,All,196,0.0,0.06,0.51
Mid_50_75,Stable,CNC-03,FIX-B1,All,147,0.0,0.06,1.36
Low_0_50,Stable,CNC-06,FIX-C3,All,172,0.0,0.06,1.16
Mid_50_75,Watch,CNC-02,FIX-A1,All,104,0.0,0.06,1.92
Low_0_50,Stable,CNC-01,FIX-C3,All,178,0.0,0.06,0.56
Low_0_50,Watch,CNC-02,FIX-B1,All,120,0.0,0.06,0.83
Low_0_50,Stable,CNC-05,FIX-A3,All,195,0.0,0.05,3.08
Low_0_50,Stable,CNC-05,FIX-B3,All,183,0.0,0.05,0.55
Low_0_50,Stable,CNC-02,FIX-B3,All,183,0.0,0.05,0.55
Mid_50_75,Watch,CNC-01,FIX-A2,All,120,0.0,0.05,0.0
Mid_50_75,Stable,CNC-05,FIX-B1,All,155,0.0,0.05,0.65
Low_0_50,Stable,CNC-03,FIX-A1,All,157,0.0,0.05,0.64
Low_0_50,Stable,CNC-03,FIX-C3,Day,107,0.0,0.05,0.0
Mid_50_75,Stable,CNC-03,FIX-B3,All,175,0.0,0.05,0.0
Mid_50_75,Stable,CNC-03,FIX-A1,All,183,0.0,0.05,0.55
Mid_50_75,Stable,CNC-01,FIX-B3,All,201,0.0,0.05,0.5
Mid_50_75,Stable,CNC-02,FIX-C2,All,174,0.0,0.05,0.0
Mid_50_75,Stable,CNC-05,FIX-A3,All,173,0.0,0.05,1.16
Mid_50_75,Stable,CNC-02,FIX-C3,All,203,0.0,0.04,0.0
Mid_50_75,Stable,CNC-05,FIX-B2,Day,113,0.0,0.04,0.88
Low_0_50,Stable,CNC-03,FIX-A3,All,174,0.0,0.04,0.57
Low_0_50,Stable,CNC-05,FIX-B2,Day,105,0.0,0.04,0.0
Low_0_50,Stable,CNC-02,FIX-B1,All,180,0.0,0.04,1.11
Mid_50_75,Stable,CNC-01,FIX-A3,All,159,0.0,0.04,1.89
Low_0_50,Stable,CNC-02,FIX-A3,All,206,0.0,0.04,0.97
Mid_50_75,Stable,CNC-05,FIX-C3,All,179,0.0,0.03,1.68
Mid_50_75,Stable,CNC-01,FIX-B3,Day,115,0.0,0.03,0.87
Low_0_50,Stable,CNC-02,FIX-A3,Day,102,0.0,0.03,0.0
Low_0_50,Stable,CNC-05,FIX-A2,All,190,0.0,0.02,0.53
